Sample	LST
TCGA-A1-A0SD	8
TCGA-A1-A0SE	4
TCGA-A1-A0SF	13
TCGA-A1-A0SG	5
TCGA-A1-A0SH	16
TCGA-A1-A0SI	8
TCGA-A1-A0SJ	12
TCGA-A1-A0SK	22
TCGA-A1-A0SM	5
TCGA-A1-A0SN	10
TCGA-A1-A0SO	34
TCGA-A1-A0SP	10
TCGA-A2-A04N	0
TCGA-A2-A04P	33
TCGA-A2-A04Q	16
TCGA-A2-A04R	17
TCGA-A2-A04T	35
TCGA-A2-A04U	16
TCGA-A2-A04V	2
TCGA-A2-A04W	16
TCGA-A2-A04X	7
TCGA-A2-A04Y	7
TCGA-A2-A0CK	14
TCGA-A2-A0CM	20
TCGA-A2-A0CO	8
TCGA-A2-A0CP	14
TCGA-A2-A0CQ	0
TCGA-A2-A0CR	3
TCGA-A2-A0CS	14
TCGA-A2-A0CT	11
TCGA-A2-A0CU	11
TCGA-A2-A0CV	9
TCGA-A2-A0CW	12
TCGA-A2-A0CX	16
TCGA-A2-A0D0	32
TCGA-A2-A0D1	11
TCGA-A2-A0D2	32
TCGA-A2-A0D3	1
TCGA-A2-A0D4	18
TCGA-A2-A0EM	1
TCGA-A2-A0EN	3
TCGA-A2-A0EO	2
TCGA-A2-A0EQ	17
TCGA-A2-A0ER	1
TCGA-A2-A0ET	4
TCGA-A2-A0EU	1
TCGA-A2-A0EV	9
TCGA-A2-A0EW	8
TCGA-A2-A0EX	6
TCGA-A2-A0EY	24
TCGA-A2-A0SU	5
TCGA-A2-A0SV	11
TCGA-A2-A0SW	19
TCGA-A2-A0SX	11
TCGA-A2-A0SY	3
TCGA-A2-A0T0	47
TCGA-A2-A0T2	9
TCGA-A2-A0T3	9
TCGA-A2-A0T4	1
TCGA-A2-A0T5	0
TCGA-A2-A0T6	3
TCGA-A2-A0T7	12
TCGA-A2-A0YC	11
TCGA-A2-A0YD	3
TCGA-A2-A0YE	12
TCGA-A2-A0YF	4
TCGA-A2-A0YG	13
TCGA-A2-A0YH	12
TCGA-A2-A0YI	2
TCGA-A2-A0YJ	19
TCGA-A2-A0YK	3
TCGA-A2-A0YL	6
TCGA-A2-A0YM	18
TCGA-A2-A0YT	10
TCGA-A2-A1FV	14
TCGA-A2-A1FW	19
TCGA-A2-A1FX	6
TCGA-A2-A1FZ	7
TCGA-A2-A1G0	4
TCGA-A2-A1G1	9
TCGA-A2-A1G4	5
TCGA-A2-A1G6	0
TCGA-A2-A259	5
TCGA-A2-A25A	4
