Sample	LST
TCGA-2F-A9KO	29
TCGA-2F-A9KP	14
TCGA-2F-A9KQ	7
TCGA-2F-A9KR	10
TCGA-2F-A9KT	20
TCGA-2F-A9KW	17
TCGA-4Z-AA7M	18
TCGA-4Z-AA7N	1
TCGA-4Z-AA7O	4
TCGA-4Z-AA7Q	15
TCGA-4Z-AA7R	31
TCGA-4Z-AA7S	5
TCGA-4Z-AA7W	35
TCGA-4Z-AA7Y	2
TCGA-4Z-AA80	17
TCGA-4Z-AA81	8
TCGA-4Z-AA82	18
TCGA-4Z-AA83	1
TCGA-4Z-AA84	27
TCGA-4Z-AA86	33
TCGA-4Z-AA87	20
TCGA-4Z-AA89	7
TCGA-5N-A9KI	18
TCGA-5N-A9KM	7
TCGA-BL-A0C8	24
TCGA-BL-A13I	2
TCGA-BL-A13J	20
TCGA-BL-A3JM	4
TCGA-BL-A5ZZ	8
TCGA-BT-A0S7	6
TCGA-BT-A0YX	13
TCGA-BT-A20J	24
TCGA-BT-A20N	30
TCGA-BT-A20O	0
TCGA-BT-A20P	7
TCGA-BT-A20Q	5
TCGA-BT-A20R	21
TCGA-BT-A20T	20
TCGA-BT-A20U	3
TCGA-BT-A20V	17
TCGA-BT-A20W	19
TCGA-BT-A20X	14
TCGA-BT-A2LA	15
TCGA-BT-A2LB	9
TCGA-BT-A2LD	21
TCGA-BT-A3PH	5
TCGA-BT-A3PJ	18
TCGA-BT-A3PK	13
TCGA-BT-A42B	10
TCGA-BT-A42C	42
TCGA-BT-A42E	27
TCGA-BT-A42F	6
TCGA-C4-A0EZ	10
TCGA-C4-A0F0	21
TCGA-C4-A0F1	39
TCGA-C4-A0F6	25
TCGA-C4-A0F7	28
TCGA-CF-A1HR	23
TCGA-CF-A1HS	27
TCGA-CF-A27C	9
TCGA-CF-A3MF	2
TCGA-CF-A3MG	6
TCGA-CF-A3MH	1
TCGA-CF-A3MI	15
TCGA-CF-A47S	8
TCGA-CF-A47T	1
TCGA-CF-A47V	5
TCGA-CF-A47W	0
TCGA-CF-A47X	15
TCGA-CF-A47Y	2
TCGA-CF-A5U8	2
TCGA-CF-A5UA	13
TCGA-CF-A7I0	5
TCGA-CF-A8HX	7
TCGA-CF-A8HY	12
TCGA-CF-A9FF	5
TCGA-CF-A9FH	2
TCGA-CF-A9FL	8
TCGA-CF-A9FM	2
TCGA-CU-A0YN	13
TCGA-CU-A0YO	24
TCGA-CU-A0YR	30
TCGA-CU-A3KJ	21
TCGA-CU-A3QU	12
TCGA-CU-A3YL	6
TCGA-CU-A5W6	13
TCGA-CU-A72E	10
TCGA-DK-A1A3	14
TCGA-DK-A1A5	14
TCGA-DK-A1A6	15
TCGA-DK-A1A7	22
TCGA-DK-A1AA	17
TCGA-DK-A1AB	0
TCGA-DK-A1AC	16
TCGA-DK-A1AD	28
TCGA-DK-A1AE	11
TCGA-DK-A1AG	0
TCGA-DK-A2HX	17
TCGA-DK-A2I1	20
TCGA-DK-A2I2	28
TCGA-DK-A2I4	20
TCGA-DK-A2I6	20
TCGA-DK-A3IK	15
TCGA-DK-A3IL	11
TCGA-DK-A3IM	21
TCGA-DK-A3IN	12
TCGA-DK-A3IS	13
TCGA-DK-A3IT	21
TCGA-DK-A3IU	12
TCGA-DK-A3IV	6
TCGA-DK-A3WW	2
TCGA-DK-A3WY	0
TCGA-DK-A3X1	20
TCGA-DK-A3X2	14
TCGA-DK-A6AV	19
TCGA-DK-A6AW	0
TCGA-DK-A6B0	0
TCGA-DK-A6B1	11
TCGA-DK-A6B2	26
TCGA-DK-A6B5	10
TCGA-DK-A6B6	9
TCGA-DK-AA6L	21
TCGA-DK-AA6M	6
TCGA-DK-AA6P	14
TCGA-DK-AA6Q	15
TCGA-DK-AA6R	28
TCGA-DK-AA6S	25
TCGA-DK-AA6T	11
TCGA-DK-AA6U	14
