Sample	LST
TCGA-2W-A8YY	3
TCGA-4J-AA1J	12
TCGA-BI-A0VR	29
TCGA-BI-A0VS	34
TCGA-BI-A20A	6
TCGA-C5-A0TN	5
TCGA-C5-A1BE	11
TCGA-C5-A1BF	8
TCGA-C5-A1BI	25
TCGA-C5-A1BJ	9
TCGA-C5-A1BK	12
TCGA-C5-A1BL	14
TCGA-C5-A1BM	4
TCGA-C5-A1BN	9
TCGA-C5-A1BQ	8
TCGA-C5-A1M5	12
TCGA-C5-A1M6	9
TCGA-C5-A1M7	11
TCGA-C5-A1M8	8
TCGA-C5-A1M9	6
TCGA-C5-A1ME	7
TCGA-C5-A1MF	17
TCGA-C5-A1MH	15
TCGA-C5-A1MI	7
TCGA-C5-A1MJ	3
TCGA-C5-A1MK	12
TCGA-C5-A1ML	4
TCGA-C5-A1MN	15
TCGA-C5-A1MP	6
TCGA-C5-A2LS	2
TCGA-C5-A2LT	6
TCGA-C5-A2LV	16
TCGA-C5-A2LX	17
TCGA-C5-A2LY	14
TCGA-C5-A2LZ	5
TCGA-C5-A2M1	4
TCGA-C5-A2M2	15
TCGA-C5-A3HD	35
TCGA-C5-A3HE	4
TCGA-C5-A3HF	5
TCGA-C5-A3HL	4
TCGA-C5-A7CG	13
TCGA-C5-A7CH	11
TCGA-C5-A7CJ	11
TCGA-C5-A7CK	12
TCGA-C5-A7CL	6
TCGA-C5-A7CM	8
TCGA-C5-A7CO	10
TCGA-C5-A7UC	8
TCGA-C5-A7UE	23
TCGA-C5-A7UH	12
TCGA-C5-A7UI	17
TCGA-C5-A7X3	23
TCGA-C5-A7X5	10
TCGA-C5-A7X8	6
TCGA-C5-A7XC	11
TCGA-C5-A8XH	34
TCGA-C5-A8XI	7
TCGA-C5-A8XJ	8
TCGA-C5-A8XK	9
TCGA-C5-A8YQ	18
TCGA-C5-A8YR	6
TCGA-C5-A8YT	1
TCGA-C5-A8ZZ	2
TCGA-C5-A901	9
TCGA-C5-A902	12
TCGA-C5-A905	7
TCGA-C5-A907	3
TCGA-DG-A2KH	4
TCGA-DG-A2KJ	22
TCGA-DG-A2KK	5
TCGA-DG-A2KL	4
TCGA-DG-A2KM	9
TCGA-DR-A0ZL	13
TCGA-DR-A0ZM	8
TCGA-DS-A0VK	9
TCGA-DS-A0VL	8
TCGA-DS-A0VM	16
TCGA-DS-A0VN	9
TCGA-DS-A1OB	22
TCGA-DS-A3LQ	18
TCGA-DS-A5RQ	11
TCGA-DS-A7WF	1
TCGA-DS-A7WH	10
TCGA-DS-A7WI	10
TCGA-EA-A1QS	12
TCGA-EA-A1QT	16
TCGA-EA-A3HQ	5
TCGA-EA-A3HR	15
TCGA-EA-A3HS	4
TCGA-EA-A3HT	8
TCGA-EA-A3HU	16
TCGA-EA-A3QD	10
TCGA-EA-A3QE	9
TCGA-EA-A3Y4	12
TCGA-EA-A410	1
TCGA-EA-A411	31
TCGA-EA-A439	7
TCGA-EA-A43B	13
TCGA-EA-A44S	7
TCGA-EA-A4BA	3
TCGA-EA-A50E	12
TCGA-EA-A556	37
TCGA-EA-A5FO	8
TCGA-EA-A5O9	14
TCGA-EA-A5ZD	1
TCGA-EA-A5ZE	14
TCGA-EA-A5ZF	5
TCGA-EA-A6QX	7
TCGA-EA-A78R	18
TCGA-EA-A97N	7
TCGA-EK-A2GZ	38
TCGA-EK-A2H0	17
TCGA-EK-A2H1	7
TCGA-EK-A2IP	5
TCGA-EK-A2IR	19
TCGA-EK-A2PG	22
TCGA-EK-A2PI	16
TCGA-EK-A2PK	4
TCGA-EK-A2PL	12
TCGA-EK-A2PM	28
TCGA-EK-A2R7	7
TCGA-EK-A2R8	7
TCGA-EK-A2R9	5
TCGA-EK-A2RA	13
TCGA-EK-A2RB	2
TCGA-EK-A2RC	2
TCGA-EK-A2RD	7
TCGA-EK-A2RE	2
TCGA-EK-A2RJ	18
TCGA-EK-A2RK	3
TCGA-EK-A2RL	10
TCGA-EK-A2RN	5
TCGA-EK-A2RO	5
TCGA-EK-A3GJ	16
TCGA-EK-A3GK	7
TCGA-EK-A3GM	10
TCGA-EK-A3GN	15
TCGA-EX-A1H5	2
