Sample	LST
TCGA-3L-AA1B	8
TCGA-4N-A93T	3
TCGA-4T-AA8H	1
TCGA-5M-AAT4	15
TCGA-5M-AAT5	19
TCGA-5M-AAT6	4
TCGA-5M-AATA	10
TCGA-5M-AATE	2
TCGA-A6-2670	10
TCGA-A6-2671	20
TCGA-A6-2675	8
TCGA-A6-2676	3
TCGA-A6-2677	15
TCGA-A6-2678	16
TCGA-A6-2679	13
TCGA-A6-2680	9
TCGA-A6-2681	22
TCGA-A6-2682	6
TCGA-A6-2683	11
TCGA-A6-2684	1
TCGA-A6-2685	11
TCGA-A6-2686	25
TCGA-A6-3807	9
TCGA-A6-3808	14
TCGA-A6-3809	8
TCGA-A6-3810	18
TCGA-A6-4105	5
TCGA-A6-4107	15
TCGA-A6-5656	4
TCGA-A6-5657	8
TCGA-A6-5659	17
TCGA-A6-5660	20
TCGA-A6-5662	16
TCGA-A6-5664	8
TCGA-A6-5665	12
TCGA-A6-5666	6
TCGA-A6-5667	9
TCGA-A6-6137	11
TCGA-A6-6138	8
TCGA-A6-6140	26
TCGA-A6-6141	0
TCGA-A6-6142	3
TCGA-A6-6648	14
TCGA-A6-6650	16
TCGA-A6-6651	38
TCGA-A6-6652	6
TCGA-A6-6653	2
TCGA-A6-6654	25
TCGA-A6-6780	3
TCGA-A6-6781	4
TCGA-A6-6782	13
TCGA-A6-A566	4
TCGA-A6-A567	10
TCGA-A6-A56B	20
TCGA-A6-A5ZU	7
TCGA-AA-3488	7
TCGA-AA-3489	7
TCGA-AA-3492	3
TCGA-AA-3494	14
TCGA-AA-3495	6
TCGA-AA-3496	6
TCGA-AA-3502	1
TCGA-AA-3506	4
TCGA-AA-3509	18
TCGA-AA-3510	0
TCGA-AA-3511	14
TCGA-AA-3514	4
TCGA-AA-3516	5
TCGA-AA-3517	12
TCGA-AA-3518	6
TCGA-AA-3519	23
TCGA-AA-3520	5
TCGA-AA-3521	14
TCGA-AA-3524	4
TCGA-AA-3525	0
TCGA-AA-3526	6
TCGA-AA-3527	5
TCGA-AA-3529	4
TCGA-AA-3530	3
TCGA-AA-3532	16
TCGA-AA-3534	2
TCGA-AA-3538	10
TCGA-AA-3542	6
TCGA-AA-3543	3
TCGA-AA-3544	12
TCGA-AA-3548	8
TCGA-AA-3549	9
TCGA-AA-3552	12
TCGA-AA-3553	12
TCGA-AA-3554	12
TCGA-AA-3555	1
TCGA-AA-3556	13
TCGA-AA-3558	1
TCGA-AA-3560	44
TCGA-AA-3561	11
TCGA-AA-3562	10
TCGA-AA-3655	4
TCGA-AA-3660	13
TCGA-AA-3662	7
TCGA-AA-3663	1
TCGA-AA-3664	14
TCGA-AA-3666	18
TCGA-AA-3667	5
TCGA-AA-3673	11
TCGA-AA-3675	3
TCGA-AA-3678	9
TCGA-AA-3679	13
TCGA-AA-3680	14
TCGA-AA-3681	5
TCGA-AA-3685	5
TCGA-AA-3688	4
TCGA-AA-3692	7
TCGA-AA-3693	8
TCGA-AA-3695	3
TCGA-AA-3696	8
TCGA-AA-3697	14
TCGA-AA-3710	3
TCGA-AA-3712	14
TCGA-AA-3713	1
TCGA-AA-3715	30
TCGA-AA-3811	38
TCGA-AA-3812	2
TCGA-AA-3814	1
TCGA-AA-3815	6
TCGA-AA-3818	1
TCGA-AA-3819	7
TCGA-AA-3821	1
TCGA-AA-3831	3
TCGA-AA-3833	10
TCGA-AA-3837	2
TCGA-AA-3841	14
TCGA-AA-3842	8
TCGA-AA-3844	8
TCGA-AA-3845	2
TCGA-AA-3846	5
TCGA-AA-3848	7
TCGA-AA-3851	9
TCGA-AA-3852	1
TCGA-AA-3854	8
TCGA-AA-3855	10
TCGA-AA-3856	7
TCGA-AA-3858	24
TCGA-AA-3860	12
TCGA-AA-3861	11
TCGA-AA-3862	17
TCGA-AA-3864	1
TCGA-AA-3866	15
TCGA-AA-3867	23
TCGA-AA-3869	6
TCGA-AA-3870	11
TCGA-AA-3872	28
TCGA-AA-3875	9
TCGA-AA-3930	8
TCGA-AA-3941	43
TCGA-AA-3947	2
TCGA-AA-3949	7
TCGA-AA-3952	18
TCGA-AA-3955	5
TCGA-AA-3956	7
TCGA-AA-3966	16
TCGA-AA-3968	15
TCGA-AA-3970	12
TCGA-AA-3971	3
TCGA-AA-3972	9
TCGA-AA-3973	0
TCGA-AA-3975	6
