Sample	LST
TCGA-4P-AA8J	7
TCGA-BA-4074	2
TCGA-BA-4075	15
TCGA-BA-4076	11
TCGA-BA-4077	17
TCGA-BA-4078	7
TCGA-BA-5149	24
TCGA-BA-5152	9
TCGA-BA-5153	8
TCGA-BA-5555	11
TCGA-BA-5556	7
TCGA-BA-5557	10
TCGA-BA-5558	8
TCGA-BA-5559	13
TCGA-BA-6868	15
TCGA-BA-6869	10
TCGA-BA-6870	8
TCGA-BA-6871	15
TCGA-BA-6872	9
TCGA-BA-6873	13
TCGA-BA-7269	12
TCGA-BA-A4IF	17
TCGA-BA-A4IG	22
TCGA-BA-A4IH	10
TCGA-BA-A4II	11
TCGA-BA-A6D8	12
TCGA-BA-A6DA	5
TCGA-BA-A6DD	8
TCGA-BA-A6DE	13
TCGA-BA-A6DF	9
TCGA-BA-A6DG	9
TCGA-BA-A6DI	16
TCGA-BA-A6DJ	4
TCGA-BA-A6DL	22
TCGA-BA-A8YP	28
TCGA-BB-4217	4
TCGA-BB-4223	6
TCGA-BB-4224	13
TCGA-BB-4225	11
TCGA-BB-4227	14
TCGA-BB-4228	13
TCGA-BB-7861	12
TCGA-BB-7862	11
TCGA-BB-7863	9
TCGA-BB-7864	13
TCGA-BB-7866	6
TCGA-BB-7870	9
TCGA-BB-7871	13
TCGA-BB-7872	9
TCGA-BB-8601	1
TCGA-BB-A5HU	7
TCGA-BB-A5HY	30
TCGA-BB-A5HZ	10
TCGA-BB-A6UM	5
TCGA-BB-A6UO	8
TCGA-C9-A47Z	7
TCGA-C9-A480	7
TCGA-CN-4722	8
TCGA-CN-4723	20
TCGA-CN-4725	16
TCGA-CN-4726	16
TCGA-CN-4727	18
TCGA-CN-4729	29
TCGA-CN-4730	4
TCGA-CN-4731	14
TCGA-CN-4733	0
TCGA-CN-4734	6
TCGA-CN-4735	9
TCGA-CN-4736	14
TCGA-CN-4737	8
TCGA-CN-4738	7
TCGA-CN-4739	11
TCGA-CN-4740	15
TCGA-CN-4741	4
TCGA-CN-4742	14
TCGA-CN-5355	10
TCGA-CN-5356	9
TCGA-CN-5358	14
TCGA-CN-5359	17
TCGA-CN-5360	7
TCGA-CN-5361	15
TCGA-CN-5363	12
TCGA-CN-5364	12
TCGA-CN-5365	25
TCGA-CN-5366	14
TCGA-CN-5367	14
TCGA-CN-5369	9
TCGA-CN-5370	12
TCGA-CN-5373	6
TCGA-CN-5374	13
TCGA-CN-6010	17
TCGA-CN-6011	12
TCGA-CN-6012	16
TCGA-CN-6013	5
TCGA-CN-6016	8
TCGA-CN-6017	0
TCGA-CN-6018	12
TCGA-CN-6019	0
TCGA-CN-6020	18
TCGA-CN-6021	11
TCGA-CN-6022	14
TCGA-CN-6023	16
TCGA-CN-6024	16
TCGA-CN-6988	12
TCGA-CN-6989	16
TCGA-CN-6992	12
TCGA-CN-6994	12
TCGA-CN-6995	21
TCGA-CN-6996	16
TCGA-CN-6997	6
TCGA-CN-6998	6
TCGA-CN-A497	5
TCGA-CN-A498	7
TCGA-CN-A499	17
TCGA-CN-A49A	27
TCGA-CN-A49B	6
TCGA-CN-A49C	3
TCGA-CN-A63T	5
TCGA-CN-A63U	22
TCGA-CN-A63V	3
TCGA-CN-A63W	15
TCGA-CN-A63Y	3
TCGA-CN-A640	7
TCGA-CN-A641	10
TCGA-CN-A642	2
TCGA-CN-A6UY	5
TCGA-CN-A6V1	11
TCGA-CN-A6V3	11
TCGA-CN-A6V6	12
TCGA-CN-A6V7	7
TCGA-CQ-5323	18
TCGA-CQ-5324	2
TCGA-CQ-5326	10
TCGA-CQ-5327	5
TCGA-CQ-5329	8
TCGA-CQ-5330	12
TCGA-CQ-5331	10
TCGA-CQ-5332	24
TCGA-CQ-5333	6
TCGA-CQ-5334	8
TCGA-CQ-6218	7
TCGA-CQ-6219	15
TCGA-CQ-6220	6
TCGA-CQ-6221	35
TCGA-CQ-6223	11
TCGA-CQ-6224	13
TCGA-CQ-6225	16
TCGA-CQ-6228	15
TCGA-CQ-7063	7
TCGA-CQ-7064	15
TCGA-CQ-7065	2
TCGA-CQ-7067	13
TCGA-CQ-7068	4
TCGA-CQ-7069	8
TCGA-CQ-7071	2
TCGA-CQ-7072	16
TCGA-CQ-A4C6	3
TCGA-CQ-A4C9	20
TCGA-CQ-A4CB	9
TCGA-CQ-A4CD	12
TCGA-CQ-A4CE	8
TCGA-CQ-A4CG	4
TCGA-CQ-A4CH	0
TCGA-CQ-A4CI	25
TCGA-CR-5243	7
TCGA-CR-5247	8
TCGA-CR-5248	20
TCGA-CR-5249	8
TCGA-CR-5250	6
TCGA-CR-6467	12
TCGA-CR-6470	8
TCGA-CR-6471	1
TCGA-CR-6472	18
TCGA-CR-6473	9
TCGA-CR-6474	8
TCGA-CR-6477	12
TCGA-CR-6478	12
TCGA-CR-6480	11
TCGA-CR-6481	6
TCGA-CR-6482	3
TCGA-CR-6484	19
TCGA-CR-6487	10
TCGA-CR-6488	29
TCGA-CR-6491	12
TCGA-CR-6493	8
TCGA-CR-7364	8
TCGA-CR-7365	4
TCGA-CR-7367	16
TCGA-CR-7368	10
TCGA-CR-7369	3
TCGA-CR-7370	15
TCGA-CR-7371	29
TCGA-CR-7372	15
TCGA-CR-7373	16
TCGA-CR-7374	23
TCGA-CR-7379	24
TCGA-CR-7380	10
TCGA-CR-7383	26
TCGA-CR-7385	10
TCGA-CR-7386	7
TCGA-CR-7388	13
TCGA-CR-7389	19
TCGA-CR-7390	15
TCGA-CR-7391	0
TCGA-CR-7393	0
TCGA-CR-7394	6
TCGA-CR-7395	4
TCGA-CR-7398	8
TCGA-CR-7399	19
TCGA-CR-7401	6
TCGA-CR-7402	10
TCGA-CR-7404	26
TCGA-CV-5430	15
TCGA-CV-5432	16
TCGA-CV-5434	16
TCGA-CV-5435	17
TCGA-CV-5436	11
TCGA-CV-5439	4
TCGA-CV-5440	14
TCGA-CV-5441	13
TCGA-CV-5442	1
TCGA-CV-5443	10
TCGA-CV-5444	10
TCGA-CV-5966	10
TCGA-CV-5970	12
TCGA-CV-5971	0
TCGA-CV-5973	15
TCGA-CV-5976	9
TCGA-CV-5977	10
TCGA-CV-5978	23
TCGA-CV-5979	7
TCGA-CV-6003	6
TCGA-CV-6433	3
