Sample	LST
TCGA-KL-8323	4
TCGA-KL-8324	0
TCGA-KL-8325	0
TCGA-KL-8326	1
TCGA-KL-8327	5
TCGA-KL-8328	11
TCGA-KL-8329	0
TCGA-KL-8330	0
TCGA-KL-8331	6
TCGA-KL-8332	0
TCGA-KL-8333	7
TCGA-KL-8334	0
TCGA-KL-8335	2
TCGA-KL-8336	0
TCGA-KL-8337	0
TCGA-KL-8338	0
TCGA-KL-8339	11
TCGA-KL-8340	0
TCGA-KL-8341	6
TCGA-KL-8342	0
TCGA-KL-8343	2
TCGA-KL-8344	1
TCGA-KL-8345	0
TCGA-KL-8346	2
TCGA-KM-8438	9
TCGA-KM-8439	1
TCGA-KM-8440	0
TCGA-KM-8441	25
TCGA-KM-8442	0
TCGA-KM-8443	1
TCGA-KM-8476	1
TCGA-KM-8477	2
TCGA-KM-8639	0
TCGA-KN-8418	2
TCGA-KN-8419	0
TCGA-KN-8421	0
TCGA-KN-8422	4
TCGA-KN-8423	0
TCGA-KN-8424	1
TCGA-KN-8425	4
TCGA-KN-8426	13
TCGA-KN-8427	4
TCGA-KN-8428	18
TCGA-KN-8429	3
TCGA-KN-8430	4
TCGA-KN-8431	0
TCGA-KN-8432	4
TCGA-KN-8433	12
TCGA-KN-8434	3
TCGA-KN-8435	2
TCGA-KN-8436	9
TCGA-KN-8437	7
TCGA-KO-8403	2
TCGA-KO-8404	18
TCGA-KO-8405	0
TCGA-KO-8406	0
TCGA-KO-8407	1
TCGA-KO-8408	3
TCGA-KO-8409	0
TCGA-KO-8410	11
TCGA-KO-8411	0
TCGA-KO-8413	1
TCGA-KO-8414	0
TCGA-KO-8415	7
TCGA-KO-8416	0
TCGA-KO-8417	0
