Sample	LST
TCGA-3Z-A93Z	2
TCGA-6D-AA2E	0
TCGA-A3-3306	2
TCGA-A3-3307	2
TCGA-A3-3308	4
TCGA-A3-3311	7
TCGA-A3-3313	3
TCGA-A3-3316	8
TCGA-A3-3317	7
TCGA-A3-3319	3
TCGA-A3-3320	4
TCGA-A3-3322	2
TCGA-A3-3323	2
TCGA-A3-3324	0
TCGA-A3-3325	10
TCGA-A3-3326	13
TCGA-A3-3331	4
TCGA-A3-3335	1
TCGA-A3-3336	8
TCGA-A3-3343	1
TCGA-A3-3346	12
TCGA-A3-3347	9
TCGA-A3-3349	5
TCGA-A3-3351	2
TCGA-A3-3352	2
TCGA-A3-3357	11
TCGA-A3-3358	4
TCGA-A3-3359	4
TCGA-A3-3362	3
TCGA-A3-3363	1
TCGA-A3-3365	0
TCGA-A3-3367	10
TCGA-A3-3370	11
TCGA-A3-3372	0
TCGA-A3-3373	2
TCGA-A3-3374	9
TCGA-A3-3376	3
TCGA-A3-3378	1
TCGA-A3-3380	12
TCGA-A3-3382	3
TCGA-A3-3383	2
TCGA-A3-3385	4
TCGA-A3-3387	7
TCGA-A3-A6NI	26
TCGA-A3-A6NL	3
TCGA-A3-A6NN	3
TCGA-A3-A8CQ	2
TCGA-A3-A8OU	1
TCGA-A3-A8OV	2
TCGA-A3-A8OW	1
TCGA-A3-A8OX	0
TCGA-AK-3425	4
TCGA-AK-3427	1
TCGA-AK-3428	0
TCGA-AK-3429	1
TCGA-AK-3430	20
TCGA-AK-3431	2
TCGA-AK-3433	0
TCGA-AK-3434	2
TCGA-AK-3436	6
TCGA-AK-3440	7
TCGA-AK-3443	0
TCGA-AK-3444	2
TCGA-AK-3445	3
TCGA-AK-3447	3
TCGA-AK-3450	5
TCGA-AK-3451	2
TCGA-AK-3453	5
TCGA-AK-3454	7
TCGA-AK-3455	1
TCGA-AK-3456	1
TCGA-AK-3458	1
TCGA-AK-3460	0
TCGA-AK-3461	2
