Sample	LST
TCGA-2Z-A9J1	0
TCGA-2Z-A9J2	4
TCGA-2Z-A9J3	2
TCGA-2Z-A9J5	0
TCGA-2Z-A9J6	0
TCGA-2Z-A9J7	1
TCGA-2Z-A9J8	3
TCGA-2Z-A9J9	0
TCGA-2Z-A9JD	0
TCGA-2Z-A9JE	1
TCGA-2Z-A9JG	0
TCGA-2Z-A9JI	3
TCGA-2Z-A9JJ	10
TCGA-2Z-A9JK	13
TCGA-2Z-A9JL	3
TCGA-2Z-A9JM	0
TCGA-2Z-A9JN	0
TCGA-2Z-A9JO	0
TCGA-2Z-A9JP	0
TCGA-2Z-A9JQ	1
TCGA-2Z-A9JR	8
TCGA-2Z-A9JS	0
TCGA-2Z-A9JT	0
TCGA-4A-A93X	0
TCGA-5P-A9JU	2
TCGA-5P-A9JV	0
TCGA-5P-A9JW	0
TCGA-5P-A9JY	0
TCGA-5P-A9JZ	1
TCGA-5P-A9K3	7
TCGA-5P-A9K8	2
TCGA-5P-A9K9	18
TCGA-5P-A9KA	0
TCGA-5P-A9KC	1
TCGA-5P-A9KH	0
TCGA-A4-7287	4
TCGA-A4-7288	0
TCGA-A4-7583	0
TCGA-A4-7585	2
TCGA-A4-7828	0
TCGA-A4-7915	0
TCGA-A4-7996	0
TCGA-A4-7997	5
TCGA-A4-8098	5
TCGA-A4-8310	0
TCGA-A4-8311	0
TCGA-A4-8312	0
TCGA-A4-8515	0
TCGA-A4-8516	2
TCGA-A4-8517	0
TCGA-A4-8630	0
TCGA-A4-A48D	0
TCGA-A4-A4ZT	1
TCGA-A4-A57E	19
TCGA-A4-A5DU	1
TCGA-A4-A5XZ	1
TCGA-A4-A5Y0	1
TCGA-A4-A5Y1	9
TCGA-A4-A772	0
TCGA-A4-A7UZ	5
TCGA-AL-3466	16
TCGA-AL-3468	0
TCGA-AL-3472	0
TCGA-AL-3473	15
TCGA-AL-7173	1
TCGA-AL-A5DJ	30
TCGA-B1-5398	5
TCGA-B1-A654	0
TCGA-B1-A655	2
TCGA-B1-A656	0
TCGA-B3-3925	4
TCGA-B3-3926	0
TCGA-B3-4104	14
TCGA-B3-8121	1
TCGA-B3-A6W5	0
TCGA-B9-4114	1
TCGA-B9-4115	7
TCGA-B9-4116	3
TCGA-B9-4117	7
TCGA-B9-A44B	15
TCGA-B9-A5W7	0
TCGA-B9-A5W8	0
TCGA-B9-A5W9	4
TCGA-B9-A69E	4
TCGA-B9-A8YI	2
TCGA-BQ-5875	4
TCGA-BQ-5876	5
TCGA-BQ-5877	6
TCGA-BQ-5878	8
TCGA-BQ-5879	21
TCGA-BQ-5880	6
TCGA-BQ-5881	3
TCGA-BQ-5882	8
TCGA-BQ-5883	0
TCGA-BQ-5884	7
TCGA-BQ-5885	7
TCGA-BQ-5887	5
TCGA-BQ-5888	20
TCGA-BQ-5889	1
TCGA-BQ-5890	8
TCGA-BQ-5891	0
TCGA-BQ-5892	4
TCGA-BQ-5893	1
TCGA-BQ-5894	22
TCGA-BQ-7044	0
TCGA-BQ-7048	2
TCGA-BQ-7049	2
TCGA-BQ-7050	1
TCGA-BQ-7053	1
TCGA-BQ-7055	2
TCGA-BQ-7056	0
TCGA-BQ-7058	1
TCGA-BQ-7059	0
TCGA-BQ-7061	0
TCGA-DW-5560	1
TCGA-DW-5561	2
TCGA-DW-7836	0
TCGA-DW-7840	1
TCGA-DW-7841	2
TCGA-DZ-6131	7
TCGA-DZ-6132	5
TCGA-DZ-6133	0
TCGA-DZ-6134	0
TCGA-EV-5902	2
TCGA-EV-5903	0
TCGA-F9-A4JJ	0
TCGA-F9-A7Q0	0
TCGA-F9-A7VF	0
TCGA-F9-A8NY	1
TCGA-F9-A97G	11
TCGA-G7-6789	10
TCGA-G7-6792	1
TCGA-G7-6793	6
TCGA-G7-6796	0
TCGA-G7-6797	2
TCGA-G7-7501	2
TCGA-G7-A4TM	0
TCGA-G7-A8LC	11
TCGA-G7-A8LD	16
TCGA-G7-A8LE	0
TCGA-GL-6846	2
TCGA-GL-7773	6
TCGA-GL-8500	0
TCGA-GL-A4EM	0
TCGA-GL-A59R	1
TCGA-GL-A59T	0
TCGA-GL-A9DC	0
TCGA-GL-A9DE	1
TCGA-HE-7128	4
TCGA-HE-7129	3
TCGA-HE-7130	16
TCGA-HE-A5NF	0
TCGA-HE-A5NH	0
TCGA-HE-A5NI	10
TCGA-HE-A5NJ	10
TCGA-HE-A5NK	15
TCGA-HE-A5NL	3
TCGA-IA-A40U	4
TCGA-IA-A40X	1
TCGA-IA-A40Y	16
TCGA-IA-A83V	0
TCGA-IZ-8196	1
TCGA-IZ-A6M9	0
TCGA-J7-6720	0
TCGA-J7-8537	18
TCGA-KV-A6GD	0
TCGA-KV-A6GE	0
TCGA-KV-A74V	0
TCGA-MH-A55Z	0
TCGA-MH-A560	0
TCGA-MH-A561	2
TCGA-MH-A562	24
TCGA-MH-A854	0
TCGA-MH-A855	1
TCGA-MH-A856	2
TCGA-MH-A857	0
TCGA-P4-A5E6	2
TCGA-P4-A5E8	2
TCGA-P4-A5EA	0
TCGA-P4-A5ED	5
TCGA-P4-AAVK	0
TCGA-P4-AAVL	7
TCGA-P4-AAVM	0
TCGA-P4-AAVO	4
TCGA-PJ-A5Z8	3
TCGA-PJ-A5Z9	0
TCGA-Q2-A5QZ	6
TCGA-SX-A71R	1
TCGA-SX-A71U	0
TCGA-SX-A71V	1
TCGA-SX-A7SL	1
TCGA-SX-A7SM	0
TCGA-SX-A7SO	1
TCGA-SX-A7SS	2
TCGA-UN-AAZ9	0
TCGA-UZ-A9PM	2
TCGA-UZ-A9PN	3
TCGA-UZ-A9PP	0
TCGA-UZ-A9PQ	6
TCGA-UZ-A9PS	4
TCGA-UZ-A9PU	0
TCGA-UZ-A9PZ	0
TCGA-UZ-A9Q1	0
TCGA-V9-A7HT	13
TCGA-WN-A9G9	1
TCGA-Y8-A894	3
TCGA-Y8-A896	0
TCGA-Y8-A8RZ	4
TCGA-Y8-A8S0	1
TCGA-Y8-A8S1	5
