Sample	LST
TCGA-CS-4938	5
TCGA-CS-4941	2
TCGA-CS-4942	3
TCGA-CS-4943	14
TCGA-CS-4944	5
TCGA-CS-5390	3
TCGA-CS-5393	6
TCGA-CS-5394	1
TCGA-CS-5395	5
TCGA-CS-5396	1
TCGA-CS-5397	4
TCGA-CS-6186	4
TCGA-CS-6188	6
TCGA-CS-6290	3
TCGA-CS-6665	10
TCGA-CS-6667	15
TCGA-CS-6668	4
TCGA-CS-6669	0
TCGA-CS-6670	2
TCGA-DB-5270	1
TCGA-DB-5273	2
TCGA-DB-5274	1
TCGA-DB-5275	14
TCGA-DB-5276	2
TCGA-DB-5277	26
TCGA-DB-5278	0
TCGA-DB-5279	2
TCGA-DB-5280	1
TCGA-DB-5281	12
TCGA-DB-A4X9	4
TCGA-DB-A4XA	0
TCGA-DB-A4XB	6
TCGA-DB-A4XC	3
TCGA-DB-A4XD	4
TCGA-DB-A4XE	5
TCGA-DB-A4XF	8
TCGA-DB-A4XG	1
TCGA-DB-A4XH	1
TCGA-DB-A64L	4
TCGA-DB-A64O	0
TCGA-DB-A64P	4
TCGA-DB-A64Q	2
TCGA-DB-A64R	1
TCGA-DB-A64S	0
TCGA-DB-A64U	1
TCGA-DB-A64V	1
TCGA-DB-A64W	3
TCGA-DB-A64X	7
TCGA-DB-A75K	3
TCGA-DB-A75L	9
TCGA-DB-A75M	1
TCGA-DB-A75O	4
TCGA-DB-A75P	1
TCGA-DH-5140	10
TCGA-DH-5141	0
TCGA-DH-5142	10
TCGA-DH-5143	4
TCGA-DH-5144	2
TCGA-DH-A669	2
TCGA-DH-A66B	12
TCGA-DH-A66D	7
TCGA-DH-A66F	1
TCGA-DH-A66G	4
TCGA-DH-A7UR	0
TCGA-DH-A7US	1
TCGA-DH-A7UT	7
TCGA-DH-A7UU	5
TCGA-DH-A7UV	12
TCGA-DU-5847	4
TCGA-DU-5849	2
TCGA-DU-5851	7
TCGA-DU-5852	3
TCGA-DU-5853	1
TCGA-DU-5854	4
TCGA-DU-5855	7
TCGA-DU-5870	6
TCGA-DU-5872	7
TCGA-DU-5874	2
TCGA-DU-6393	1
TCGA-DU-6394	1
TCGA-DU-6395	4
TCGA-DU-6396	14
TCGA-DU-6397	5
TCGA-DU-6399	6
TCGA-DU-6400	11
TCGA-DU-6401	8
TCGA-DU-6402	8
TCGA-DU-6403	5
TCGA-DU-6405	3
TCGA-DU-6406	4
TCGA-DU-6407	8
TCGA-DU-6408	14
TCGA-DU-6410	2
TCGA-DU-6542	12
TCGA-DU-7006	7
TCGA-DU-7007	9
TCGA-DU-7008	8
TCGA-DU-7009	3
TCGA-DU-7010	17
TCGA-DU-7011	1
TCGA-DU-7012	21
TCGA-DU-7013	1
TCGA-DU-7015	4
TCGA-DU-7018	0
TCGA-DU-7019	5
TCGA-DU-7290	0
TCGA-DU-7292	10
TCGA-DU-7294	3
TCGA-DU-7298	9
TCGA-DU-7299	7
TCGA-DU-7301	8
TCGA-DU-7302	2
TCGA-DU-7304	7
TCGA-DU-7306	5
TCGA-DU-7309	6
TCGA-DU-8158	0
TCGA-DU-8161	4
TCGA-DU-8162	0
TCGA-DU-8163	1
TCGA-DU-8164	0
