Sample	LST
TCGA-2V-A95S	7
TCGA-2Y-A9GS	5
TCGA-2Y-A9GT	4
TCGA-2Y-A9GU	26
TCGA-2Y-A9GV	11
TCGA-2Y-A9GW	5
TCGA-2Y-A9GX	0
TCGA-2Y-A9GY	14
TCGA-2Y-A9GZ	13
TCGA-2Y-A9H0	7
TCGA-2Y-A9H1	8
TCGA-2Y-A9H2	26
TCGA-2Y-A9H3	13
TCGA-2Y-A9H4	10
TCGA-2Y-A9H5	10
TCGA-2Y-A9H6	7
TCGA-2Y-A9H7	3
TCGA-2Y-A9H8	14
TCGA-2Y-A9H9	13
TCGA-2Y-A9HA	5
TCGA-2Y-A9HB	2
TCGA-3K-AAZ8	4
TCGA-4R-AA8I	6
TCGA-5C-A9VG	12
TCGA-5C-A9VH	3
TCGA-5C-AAPD	8
TCGA-5R-AA1C	2
TCGA-5R-AAAM	14
TCGA-BC-4072	6
TCGA-BC-4073	4
TCGA-BC-A10Q	13
TCGA-BC-A10R	9
TCGA-BC-A10S	1
TCGA-BC-A10T	15
TCGA-BC-A10U	10
TCGA-BC-A10W	10
TCGA-BC-A10X	2
TCGA-BC-A10Y	17
TCGA-BC-A10Z	11
TCGA-BC-A112	12
TCGA-BC-A216	11
TCGA-BC-A217	22
TCGA-BC-A3KF	13
TCGA-BC-A3KG	18
TCGA-BC-A5W4	15
TCGA-BC-A69H	30
TCGA-BC-A69I	4
TCGA-BC-A8YO	6
TCGA-BD-A2L6	6
TCGA-BD-A3EP	13
TCGA-BD-A3ER	5
TCGA-BW-A5NO	16
TCGA-BW-A5NP	13
TCGA-BW-A5NQ	22
TCGA-CC-5258	16
TCGA-CC-5259	16
TCGA-CC-5260	13
TCGA-CC-5261	17
TCGA-CC-5262	6
TCGA-CC-5263	15
TCGA-CC-5264	17
TCGA-CC-A123	18
TCGA-CC-A3M9	25
TCGA-CC-A3MA	11
TCGA-CC-A3MB	9
TCGA-CC-A3MC	13
TCGA-CC-A5UC	12
TCGA-CC-A5UD	6
TCGA-CC-A5UE	15
TCGA-CC-A7IE	14
TCGA-CC-A7IF	17
TCGA-CC-A7IG	19
TCGA-CC-A7IH	8
TCGA-CC-A7II	14
TCGA-CC-A7IJ	13
TCGA-CC-A7IK	13
TCGA-CC-A7IL	10
TCGA-CC-A8HT	2
TCGA-CC-A8HU	13
TCGA-CC-A8HV	16
TCGA-CC-A9FS	6
TCGA-CC-A9FU	13
TCGA-CC-A9FW	11
TCGA-DD-A113	18
TCGA-DD-A114	9
TCGA-DD-A115	24
TCGA-DD-A116	22
TCGA-DD-A118	11
TCGA-DD-A119	16
TCGA-DD-A11A	24
TCGA-DD-A11B	2
TCGA-DD-A11C	28
TCGA-DD-A11D	3
TCGA-DD-A1E9	6
TCGA-DD-A1EA	0
TCGA-DD-A1EB	12
TCGA-DD-A1EC	8
TCGA-DD-A1ED	0
TCGA-DD-A1EE	2
TCGA-DD-A1EF	18
TCGA-DD-A1EG	13
TCGA-DD-A1EH	3
TCGA-DD-A1EI	2
TCGA-DD-A1EJ	21
TCGA-DD-A1EK	4
TCGA-DD-A1EL	23
TCGA-DD-A39V	6
TCGA-DD-A39W	3
TCGA-DD-A39X	14
TCGA-DD-A39Y	11
TCGA-DD-A39Z	4
TCGA-DD-A3A0	11
TCGA-DD-A3A1	6
TCGA-DD-A3A2	0
TCGA-DD-A3A3	2
TCGA-DD-A3A4	3
TCGA-DD-A3A5	11
TCGA-DD-A3A6	0
TCGA-DD-A3A7	13
TCGA-DD-A3A8	9
TCGA-DD-A3A9	9
TCGA-DD-A4NA	18
TCGA-DD-A4NB	3
TCGA-DD-A4ND	7
TCGA-DD-A4NE	14
TCGA-DD-A4NF	4
TCGA-DD-A4NG	25
TCGA-DD-A4NH	13
TCGA-DD-A4NI	5
TCGA-DD-A4NJ	26
TCGA-DD-A4NK	3
TCGA-DD-A4NL	0
TCGA-DD-A4NN	19
TCGA-DD-A4NO	7
TCGA-DD-A4NP	0
TCGA-DD-A4NQ	13
TCGA-DD-A4NR	6
TCGA-DD-A4NS	0
TCGA-DD-A4NV	19
TCGA-DD-A73A	5
TCGA-DD-A73B	14
TCGA-DD-A73C	2
TCGA-DD-A73D	7
TCGA-DD-A73E	7
TCGA-DD-A73F	12
TCGA-DD-A73G	22
TCGA-DD-AA3A	4
TCGA-DD-AAC8	11
TCGA-DD-AAC9	4
TCGA-DD-AACA	7
TCGA-DD-AACB	11
TCGA-DD-AACC	6
TCGA-DD-AACD	5
TCGA-DD-AACE	5
TCGA-DD-AACF	9
TCGA-DD-AACG	13
TCGA-DD-AACH	21
TCGA-DD-AACI	8
TCGA-DD-AACJ	4
TCGA-DD-AACK	3
TCGA-DD-AACL	3
TCGA-DD-AACM	8
TCGA-DD-AACN	9
TCGA-DD-AACO	7
TCGA-DD-AACP	10
TCGA-DD-AACQ	9
TCGA-DD-AACS	15
TCGA-DD-AACT	5
TCGA-DD-AACU	14
TCGA-DD-AACV	9
TCGA-DD-AACW	4
TCGA-DD-AACX	4
TCGA-DD-AACY	10
TCGA-DD-AACZ	12
TCGA-DD-AAD0	7
TCGA-DD-AAD1	13
TCGA-DD-AAD2	4
TCGA-DD-AAD3	8
TCGA-DD-AAD5	10
TCGA-DD-AAD6	8
TCGA-DD-AAD8	11
TCGA-DD-AADA	13
TCGA-DD-AADB	4
TCGA-DD-AADC	15
TCGA-DD-AADD	11
TCGA-DD-AADE	6
TCGA-DD-AADF	20
TCGA-DD-AADG	6
TCGA-DD-AADI	3
TCGA-DD-AADJ	4
TCGA-DD-AADK	9
TCGA-DD-AADL	7
TCGA-DD-AADM	17
TCGA-DD-AADN	8
TCGA-DD-AADO	20
TCGA-DD-AADP	4
TCGA-DD-AADQ	1
TCGA-DD-AADR	12
TCGA-DD-AADS	2
TCGA-DD-AADU	7
TCGA-DD-AADV	15
TCGA-DD-AADW	16
TCGA-DD-AADY	7
TCGA-DD-AAE0	9
TCGA-DD-AAE1	11
TCGA-DD-AAE2	16
TCGA-DD-AAE3	15
TCGA-DD-AAE4	8
TCGA-DD-AAE6	14
TCGA-DD-AAE7	3
TCGA-DD-AAE8	6
TCGA-DD-AAE9	1
TCGA-DD-AAEA	8
TCGA-DD-AAEB	2
TCGA-DD-AAED	5
TCGA-DD-AAEE	17
TCGA-DD-AAEG	10
TCGA-DD-AAEH	2
TCGA-DD-AAEI	6
TCGA-DD-AAEK	11
TCGA-DD-AAVP	14
TCGA-DD-AAVQ	7
TCGA-DD-AAVR	8
TCGA-DD-AAVS	11
TCGA-DD-AAVU	8
TCGA-DD-AAVV	13
TCGA-DD-AAVW	10
TCGA-DD-AAVX	5
TCGA-DD-AAVY	9
TCGA-DD-AAVZ	6
TCGA-DD-AAW0	7
TCGA-DD-AAW1	3
TCGA-DD-AAW2	2
TCGA-DD-AAW3	5
TCGA-ED-A459	13
TCGA-ED-A627	2
TCGA-ED-A66X	19
TCGA-ED-A66Y	10
TCGA-ED-A7PX	23
TCGA-ED-A7PY	10
TCGA-ED-A7PZ	11
TCGA-ED-A7XO	13
TCGA-ED-A7XP	10
TCGA-ED-A82E	15
TCGA-ED-A8O5	4
TCGA-ED-A8O6	6
TCGA-ED-A97K	13
TCGA-EP-A12J	3
TCGA-EP-A26S	1
TCGA-EP-A2KA	4
TCGA-EP-A2KB	2
TCGA-EP-A2KC	4
TCGA-EP-A3JL	10
TCGA-EP-A3RK	11
TCGA-ES-A2HS	8
TCGA-ES-A2HT	2
TCGA-FV-A23B	6
TCGA-FV-A2QQ	5
TCGA-FV-A2QR	17
TCGA-FV-A3I0	19
TCGA-FV-A3I1	9
TCGA-FV-A3R2	2
TCGA-FV-A3R3	5
TCGA-FV-A495	11
TCGA-FV-A496	28
TCGA-FV-A4ZP	11
TCGA-FV-A4ZQ	9
TCGA-G3-A25S	6
TCGA-G3-A25T	10
TCGA-G3-A25U	5
TCGA-G3-A25V	0
TCGA-G3-A25W	10
TCGA-G3-A25X	30
TCGA-G3-A25Y	18
TCGA-G3-A25Z	9
TCGA-G3-A3CG	5
TCGA-G3-A3CH	12
TCGA-G3-A3CI	2
TCGA-G3-A3CJ	1
TCGA-G3-A5SI	36
TCGA-G3-A5SJ	4
TCGA-G3-A5SK	14
TCGA-G3-A5SL	13
TCGA-G3-A5SM	36
TCGA-G3-A6UC	27
TCGA-G3-A7M5	7
TCGA-G3-A7M6	9
TCGA-G3-A7M7	1
TCGA-G3-A7M8	0
TCGA-G3-A7M9	23
TCGA-G3-AAUZ	5
TCGA-G3-AAV0	9
TCGA-G3-AAV1	17
TCGA-G3-AAV2	7
TCGA-G3-AAV3	4
TCGA-G3-AAV4	10
TCGA-G3-AAV5	2
TCGA-G3-AAV6	16
TCGA-G3-AAV7	5
TCGA-GJ-A3OU	10
TCGA-GJ-A6C0	16
TCGA-GJ-A9DB	4
TCGA-HP-A5MZ	0
TCGA-HP-A5N0	11
TCGA-K7-A5RF	0
TCGA-K7-A5RG	0
TCGA-K7-A6G5	5
TCGA-K7-AAU7	3
TCGA-KR-A7K0	2
TCGA-KR-A7K2	12
TCGA-KR-A7K7	0
TCGA-LG-A6GG	7
TCGA-LG-A9QC	4
TCGA-LG-A9QD	9
TCGA-MI-A75C	2
TCGA-MI-A75G	10
TCGA-MI-A75H	7
TCGA-MI-A75I	10
TCGA-MR-A520	0
TCGA-MR-A8JO	4
TCGA-NI-A4U2	6
TCGA-NI-A8LF	21
TCGA-O8-A75V	10
TCGA-PD-A5DF	23
TCGA-QA-A7B7	6
TCGA-RC-A6M3	12
TCGA-RC-A6M4	10
TCGA-RC-A6M5	0
TCGA-RC-A6M6	16
TCGA-RC-A7S9	12
TCGA-RC-A7SB	7
TCGA-RC-A7SF	11
TCGA-RC-A7SH	11
TCGA-RC-A7SK	19
TCGA-RG-A7D4	19
TCGA-T1-A6J8	11
TCGA-UB-A7MA	22
TCGA-UB-A7MB	12
TCGA-UB-A7MC	10
TCGA-UB-A7MD	4
TCGA-UB-A7ME	28
TCGA-UB-A7MF	17
TCGA-UB-AA0U	18
TCGA-WJ-A86L	10
TCGA-WQ-A9G7	14
TCGA-WQ-AB4B	14
TCGA-WX-AA44	8
TCGA-WX-AA46	5
TCGA-WX-AA47	3
TCGA-XR-A8TD	13
TCGA-XR-A8TE	1
TCGA-XR-A8TF	15
TCGA-XR-A8TG	10
TCGA-YA-A8S7	5
TCGA-ZP-A9CV	4
TCGA-ZP-A9CY	5
TCGA-ZP-A9CZ	14
TCGA-ZP-A9D0	16
TCGA-ZP-A9D1	12
TCGA-ZP-A9D2	6
TCGA-ZP-A9D4	6
TCGA-ZS-A9CD	2
TCGA-ZS-A9CE	20
TCGA-ZS-A9CF	16
TCGA-ZS-A9CG	14
