Sample	LST
TCGA-05-4244	29
TCGA-05-4249	4
TCGA-05-4250	14
TCGA-05-4382	23
TCGA-05-4384	4
TCGA-05-4389	25
TCGA-05-4390	22
TCGA-05-4395	14
TCGA-05-4396	4
TCGA-05-4397	17
TCGA-05-4398	24
TCGA-05-4402	9
TCGA-05-4403	5
TCGA-05-4405	20
TCGA-05-4410	20
TCGA-05-4415	14
TCGA-05-4417	32
TCGA-05-4418	13
TCGA-05-4420	28
TCGA-05-4422	8
TCGA-05-4425	5
TCGA-05-4426	5
TCGA-05-4427	37
TCGA-05-4430	30
TCGA-05-4432	24
TCGA-05-4433	7
TCGA-05-4434	21
TCGA-05-5420	10
TCGA-05-5423	2
TCGA-05-5425	21
TCGA-05-5428	25
TCGA-05-5429	29
TCGA-05-5715	7
TCGA-35-3615	7
TCGA-35-4123	12
TCGA-35-5375	20
TCGA-38-4625	26
TCGA-38-4628	23
TCGA-38-4629	19
TCGA-38-4630	17
TCGA-38-4631	29
TCGA-38-4632	21
TCGA-38-6178	13
TCGA-38-A44F	0
TCGA-44-2655	26
TCGA-44-2659	23
TCGA-44-2661	21
TCGA-44-2665	18
TCGA-44-2666	7
TCGA-44-3396	11
TCGA-44-3917	19
TCGA-44-3919	13
TCGA-44-4112	7
TCGA-44-5643	7
TCGA-44-5644	37
TCGA-44-5645	15
TCGA-44-6144	33
TCGA-44-6145	9
TCGA-44-6146	1
TCGA-44-6147	32
TCGA-44-6148	0
TCGA-44-6774	7
TCGA-44-6775	16
TCGA-44-6776	5
TCGA-44-6777	6
TCGA-44-6778	16
TCGA-44-6779	19
TCGA-44-7659	3
TCGA-44-7660	14
TCGA-44-7661	12
TCGA-44-7662	28
TCGA-44-7667	27
TCGA-44-7669	17
TCGA-44-7670	16
TCGA-44-7671	5
TCGA-44-7672	26
TCGA-44-8117	22
TCGA-44-8119	23
TCGA-44-8120	6
TCGA-44-A479	31
TCGA-44-A47A	13
TCGA-44-A47B	12
TCGA-44-A47F	4
TCGA-44-A4SU	13
TCGA-49-4486	2
TCGA-49-4487	21
TCGA-49-4488	19
TCGA-49-4490	19
TCGA-49-4494	18
TCGA-49-4501	38
TCGA-49-4505	24
TCGA-49-4507	21
TCGA-49-4510	26
TCGA-49-4512	19
TCGA-49-4514	15
TCGA-49-6742	9
TCGA-49-6743	17
TCGA-49-6744	20
TCGA-49-6761	17
TCGA-49-6767	17
TCGA-49-AAQV	14
TCGA-49-AAR0	17
TCGA-49-AAR2	6
TCGA-49-AAR9	17
TCGA-49-AARE	14
TCGA-49-AARN	7
TCGA-49-AARO	17
TCGA-49-AARQ	13
TCGA-49-AARR	0
TCGA-4B-A93V	12
TCGA-50-5045	16
TCGA-50-5049	25
TCGA-50-5051	8
TCGA-50-5055	2
TCGA-50-5066	25
TCGA-50-5068	14
TCGA-50-5072	20
TCGA-50-5931	17
TCGA-50-5932	11
TCGA-50-5933	21
TCGA-50-5935	9
TCGA-50-5936	13
TCGA-50-5939	15
TCGA-50-5941	28
TCGA-50-5942	2
TCGA-50-5944	8
TCGA-50-6590	20
TCGA-50-6591	15
TCGA-50-6592	16
TCGA-50-6593	17
TCGA-50-6594	21
TCGA-50-6595	21
TCGA-50-6597	14
TCGA-50-6673	15
TCGA-50-7109	17
TCGA-50-8457	5
TCGA-50-8459	6
TCGA-50-8460	16
TCGA-53-7624	33
TCGA-53-7626	17
TCGA-53-7813	22
TCGA-53-A4EZ	15
TCGA-55-1592	15
TCGA-55-1594	19
TCGA-55-1595	30
TCGA-55-1596	22
TCGA-55-5899	16
TCGA-55-6543	5
TCGA-55-6642	34
TCGA-55-6712	15
TCGA-55-6968	14
TCGA-55-6970	24
TCGA-55-6971	17
TCGA-55-6972	13
TCGA-55-6978	16
TCGA-55-6979	16
TCGA-55-6980	6
TCGA-55-6981	14
TCGA-55-6982	11
TCGA-55-6983	9
TCGA-55-6985	26
TCGA-55-6986	3
TCGA-55-7227	29
TCGA-55-7281	4
TCGA-55-7283	17
TCGA-55-7284	3
TCGA-55-7570	9
TCGA-55-7573	13
TCGA-55-7574	13
TCGA-55-7576	29
TCGA-55-7725	5
TCGA-55-7726	18
TCGA-55-7727	14
TCGA-55-7728	5
TCGA-55-7815	22
TCGA-55-7903	8
TCGA-55-7907	12
TCGA-55-7910	21
TCGA-55-7911	8
TCGA-55-7913	22
TCGA-55-7914	10
TCGA-55-7994	23
TCGA-55-7995	17
TCGA-55-8085	11
TCGA-55-8087	2
TCGA-55-8090	7
TCGA-55-8091	6
TCGA-55-8092	24
TCGA-55-8094	21
TCGA-55-8096	13
TCGA-55-8097	12
TCGA-55-8203	12
TCGA-55-8204	11
TCGA-55-8205	23
TCGA-55-8206	4
TCGA-55-8207	10
TCGA-55-8299	0
TCGA-55-8302	11
TCGA-55-8505	13
TCGA-55-8506	26
TCGA-55-8507	19
TCGA-55-8508	20
TCGA-55-8510	12
TCGA-55-8511	22
TCGA-55-8512	22
TCGA-55-8513	0
TCGA-55-8514	19
TCGA-55-8614	15
TCGA-55-8615	27
TCGA-55-8616	10
TCGA-55-8620	17
TCGA-55-8621	5
TCGA-55-A48X	15
TCGA-55-A48Y	10
TCGA-55-A48Z	14
TCGA-55-A490	24
TCGA-55-A491	16
TCGA-55-A492	6
TCGA-55-A493	22
TCGA-55-A494	17
TCGA-55-A4DF	24
TCGA-55-A4DG	23
TCGA-55-A57B	23
TCGA-62-8394	19
TCGA-62-8395	12
TCGA-62-8397	19
TCGA-62-8398	7
TCGA-62-8399	19
TCGA-62-8402	13
TCGA-62-A46O	28
TCGA-62-A46P	7
TCGA-62-A46R	12
TCGA-62-A46S	20
TCGA-62-A46U	23
TCGA-62-A46V	13
TCGA-62-A46Y	11
TCGA-62-A470	10
TCGA-62-A471	19
TCGA-62-A472	13
TCGA-64-1676	25
TCGA-64-1677	17
TCGA-64-1678	15
TCGA-64-1679	10
TCGA-64-1680	16
TCGA-64-1681	20
TCGA-64-5774	19
TCGA-64-5775	8
TCGA-64-5778	13
TCGA-64-5779	27
TCGA-64-5781	14
TCGA-64-5815	13
TCGA-67-3770	13
TCGA-67-3771	28
TCGA-67-3772	11
TCGA-67-3773	5
TCGA-67-3774	12
TCGA-67-4679	8
TCGA-67-6215	5
TCGA-67-6216	4
TCGA-69-7760	23
TCGA-69-7761	5
TCGA-69-7763	15
TCGA-69-7764	9
TCGA-69-7765	11
TCGA-69-7973	16
TCGA-69-7974	17
TCGA-69-7978	17
TCGA-69-7979	25
TCGA-69-7980	21
TCGA-69-8253	5
TCGA-69-8254	14
TCGA-69-8255	13
TCGA-69-8453	5
TCGA-69-A59K	20
TCGA-71-6725	24
TCGA-71-8520	30
TCGA-73-4659	22
TCGA-73-4662	22
TCGA-73-4666	19
TCGA-73-4668	31
TCGA-73-4670	11
TCGA-73-4675	11
TCGA-73-4676	7
TCGA-73-4677	24
TCGA-73-7498	4
TCGA-73-7499	19
TCGA-73-A9RS	23
TCGA-75-5122	13
TCGA-75-5125	15
TCGA-75-5126	9
TCGA-75-5146	12
TCGA-75-5147	14
TCGA-75-6203	11
TCGA-75-6205	13
TCGA-75-6206	7
TCGA-75-6207	14
TCGA-75-6211	18
TCGA-75-6212	2
TCGA-75-6214	22
TCGA-75-7025	14
TCGA-75-7027	9
TCGA-75-7030	1
TCGA-75-7031	20
TCGA-78-7143	4
TCGA-78-7145	14
TCGA-78-7146	20
TCGA-78-7147	12
TCGA-78-7148	2
TCGA-78-7149	5
TCGA-78-7150	18
TCGA-78-7152	8
TCGA-78-7153	9
TCGA-78-7154	25
TCGA-78-7155	23
TCGA-78-7156	4
TCGA-78-7158	1
TCGA-78-7159	16
TCGA-78-7161	37
TCGA-78-7162	9
TCGA-78-7163	4
TCGA-78-7166	5
TCGA-78-7167	17
TCGA-78-7220	8
TCGA-78-7535	6
TCGA-78-7536	44
TCGA-78-7537	1
TCGA-78-7539	22
TCGA-78-7540	7
TCGA-78-7542	14
TCGA-78-7633	5
TCGA-78-8640	40
TCGA-78-8648	0
TCGA-78-8655	10
TCGA-78-8660	16
TCGA-78-8662	29
TCGA-80-5607	1
TCGA-80-5608	19
TCGA-80-5611	23
TCGA-83-5908	17
TCGA-86-6562	8
TCGA-86-6851	19
TCGA-86-7701	12
TCGA-86-7711	19
TCGA-86-7713	12
TCGA-86-7714	0
TCGA-86-7953	19
TCGA-86-7954	19
TCGA-86-7955	13
TCGA-86-8054	12
TCGA-86-8055	15
TCGA-86-8056	5
TCGA-86-8073	11
TCGA-86-8074	16
TCGA-86-8075	20
TCGA-86-8076	1
TCGA-86-8278	6
TCGA-86-8279	13
TCGA-86-8280	6
TCGA-86-8281	5
TCGA-86-8358	38
TCGA-86-8359	24
TCGA-86-8585	13
TCGA-86-8668	6
TCGA-86-8669	24
TCGA-86-8672	17
TCGA-86-8673	30
TCGA-86-8674	2
TCGA-86-A456	11
TCGA-86-A4D0	20
TCGA-86-A4JF	3
TCGA-86-A4P8	0
TCGA-91-6829	28
TCGA-91-6830	14
TCGA-91-6831	27
TCGA-91-6835	15
TCGA-91-6836	22
TCGA-91-6840	18
TCGA-91-6847	16
TCGA-91-6848	28
TCGA-91-6849	7
TCGA-91-7771	19
TCGA-91-8496	8
TCGA-91-8497	20
TCGA-91-8499	37
TCGA-91-A4BC	28
TCGA-91-A4BD	3
TCGA-93-7347	9
TCGA-93-7348	8
TCGA-93-8067	21
TCGA-93-A4JN	18
TCGA-95-7039	22
TCGA-95-7043	23
TCGA-95-7562	15
TCGA-95-7567	16
TCGA-95-7944	10
TCGA-95-7947	11
TCGA-95-7948	16
TCGA-95-8039	24
TCGA-95-8494	21
TCGA-95-A4VK	5
TCGA-95-A4VP	16
TCGA-97-7546	3
TCGA-97-7547	7
TCGA-97-7552	0
TCGA-97-7553	12
TCGA-97-7554	22
TCGA-97-7937	18
TCGA-97-7938	8
TCGA-97-7941	2
TCGA-97-8171	8
TCGA-97-8172	6
TCGA-97-8174	19
TCGA-97-8175	7
TCGA-97-8176	6
TCGA-97-8177	12
TCGA-97-8179	18
TCGA-97-8547	18
TCGA-97-8552	17
TCGA-97-A4LX	1
TCGA-97-A4M0	14
TCGA-97-A4M1	10
TCGA-97-A4M2	2
TCGA-97-A4M3	8
TCGA-97-A4M5	10
TCGA-97-A4M6	11
TCGA-97-A4M7	14
TCGA-99-7458	13
TCGA-99-8025	13
TCGA-99-8032	17
TCGA-99-8033	20
TCGA-99-AA5R	0
TCGA-J2-8192	15
TCGA-J2-8194	19
TCGA-J2-A4AD	11
TCGA-J2-A4AE	8
TCGA-L4-A4E5	12
TCGA-L4-A4E6	0
TCGA-L9-A443	12
TCGA-L9-A444	25
TCGA-L9-A50W	6
TCGA-L9-A5IP	7
TCGA-L9-A7SV	25
TCGA-L9-A8F4	12
TCGA-MN-A4N1	24
TCGA-MN-A4N4	13
TCGA-MN-A4N5	24
TCGA-MP-A4SV	22
TCGA-MP-A4SW	18
TCGA-MP-A4SY	7
TCGA-MP-A4T2	5
TCGA-MP-A4T4	18
TCGA-MP-A4T6	14
TCGA-MP-A4T7	9
TCGA-MP-A4T8	11
TCGA-MP-A4TD	10
TCGA-MP-A4TE	16
TCGA-MP-A4TF	24
TCGA-MP-A4TH	11
TCGA-MP-A4TK	18
TCGA-MP-A5C7	3
TCGA-NJ-A4YF	26
TCGA-NJ-A4YG	9
TCGA-NJ-A4YI	9
TCGA-NJ-A4YP	3
TCGA-NJ-A4YQ	20
TCGA-NJ-A55R	3
TCGA-NJ-A7XG	7
TCGA-O1-A52J	15
TCGA-S2-AA1A	5
