Sample	LST
TCGA-18-3406	22
TCGA-18-3407	17
TCGA-18-3408	15
TCGA-18-3409	8
TCGA-18-3410	22
TCGA-18-3411	27
TCGA-18-3412	35
TCGA-18-3414	12
TCGA-18-3415	28
TCGA-18-3416	18
TCGA-18-3417	19
TCGA-18-3419	15
TCGA-18-3421	44
TCGA-18-4083	22
TCGA-18-4086	16
TCGA-18-4721	17
TCGA-18-5592	16
TCGA-18-5595	6
TCGA-21-1070	26
TCGA-21-1071	19
TCGA-21-1072	25
TCGA-21-1075	15
TCGA-21-1076	30
TCGA-21-1077	22
TCGA-21-1078	4
TCGA-21-1079	26
TCGA-21-1080	10
TCGA-21-1081	17
TCGA-21-1082	22
TCGA-21-1083	19
TCGA-21-5782	27
TCGA-21-5783	20
TCGA-21-5786	24
TCGA-21-5787	18
TCGA-21-A5DI	13
TCGA-22-0940	28
TCGA-22-0944	18
TCGA-22-1000	2
TCGA-22-1002	23
TCGA-22-1005	1
TCGA-22-1011	18
TCGA-22-1012	30
TCGA-22-1016	39
TCGA-22-4591	22
TCGA-22-4593	19
TCGA-22-4594	30
TCGA-22-4595	33
TCGA-22-4599	10
TCGA-22-4601	21
TCGA-22-4604	22
TCGA-22-4605	15
TCGA-22-4607	4
TCGA-22-4609	7
TCGA-22-4613	25
TCGA-22-5471	21
TCGA-22-5472	5
TCGA-22-5473	15
TCGA-22-5474	7
TCGA-22-5477	26
TCGA-22-5478	13
TCGA-22-5479	30
TCGA-22-5480	10
TCGA-22-5481	26
TCGA-22-5482	18
TCGA-22-5483	31
TCGA-22-5485	9
TCGA-22-5489	18
TCGA-22-5491	29
TCGA-22-5492	14
TCGA-22-A5C4	19
TCGA-33-4532	26
TCGA-33-4533	25
TCGA-33-4538	24
TCGA-33-4547	18
TCGA-33-4566	13
TCGA-33-4582	35
TCGA-33-4583	13
TCGA-33-4586	12
TCGA-33-4587	23
TCGA-33-4589	16
TCGA-33-6737	18
TCGA-33-6738	14
TCGA-33-A4WN	14
TCGA-33-A5GW	20
TCGA-33-AAS8	10
TCGA-33-AASB	20
TCGA-33-AASD	13
TCGA-33-AASI	15
TCGA-33-AASJ	17
TCGA-33-AASL	27
TCGA-34-2596	16
TCGA-34-2600	18
TCGA-34-2604	13
TCGA-34-2605	16
TCGA-34-2608	19
TCGA-34-2609	22
TCGA-34-5231	7
TCGA-34-5232	8
TCGA-34-5234	2
TCGA-34-5239	10
TCGA-34-5240	9
TCGA-34-5927	6
TCGA-34-5928	28
TCGA-34-5929	10
TCGA-34-7107	16
TCGA-34-8454	11
TCGA-34-8455	8
TCGA-34-8456	17
TCGA-34-A5IX	19
TCGA-37-3783	19
TCGA-37-3789	13
TCGA-37-3792	32
TCGA-37-4130	26
TCGA-37-4133	26
TCGA-37-4135	23
TCGA-37-4141	41
TCGA-37-5819	27
TCGA-37-A5EL	27
TCGA-37-A5EM	17
TCGA-37-A5EN	29
TCGA-39-5011	19
TCGA-39-5016	21
TCGA-39-5019	13
TCGA-39-5021	12
TCGA-39-5022	12
TCGA-39-5024	24
TCGA-39-5027	11
TCGA-39-5029	21
TCGA-39-5030	3
TCGA-39-5031	17
TCGA-39-5034	12
TCGA-39-5035	21
TCGA-39-5036	19
TCGA-39-5037	36
TCGA-39-5040	23
TCGA-43-2576	28
TCGA-43-2578	22
TCGA-43-2581	13
TCGA-43-3394	22
TCGA-43-3920	18
TCGA-43-5668	18
TCGA-43-5670	11
TCGA-43-6143	19
TCGA-43-6647	14
TCGA-43-6770	36
TCGA-43-6771	4
TCGA-43-6773	0
TCGA-43-7656	13
TCGA-43-7657	18
TCGA-43-7658	19
TCGA-43-8115	19
TCGA-43-8116	20
TCGA-43-8118	25
TCGA-43-A474	16
TCGA-43-A56V	4
TCGA-46-3765	14
TCGA-46-3768	16
TCGA-46-3769	24
TCGA-46-6025	48
TCGA-46-6026	22
TCGA-51-4079	20
TCGA-51-4080	20
TCGA-51-4081	17
TCGA-51-6867	25
TCGA-52-7622	26
TCGA-52-7809	21
TCGA-52-7810	27
TCGA-52-7811	18
TCGA-52-7812	17
TCGA-56-1622	20
TCGA-56-5898	10
TCGA-56-6545	19
TCGA-56-6546	20
TCGA-56-7221	9
TCGA-56-7222	14
TCGA-56-7223	17
TCGA-56-7579	19
TCGA-56-7580	9
TCGA-56-7582	16
TCGA-56-7730	9
TCGA-56-7822	23
TCGA-56-7823	11
TCGA-56-8082	17
TCGA-56-8083	13
TCGA-56-8201	18
TCGA-56-8304	14
TCGA-56-8305	23
TCGA-56-8307	12
TCGA-56-8308	20
TCGA-56-8309	7
TCGA-56-8504	11
TCGA-56-8622	17
TCGA-56-8623	1
TCGA-56-8624	7
TCGA-56-8625	23
TCGA-56-8626	9
TCGA-56-8628	10
TCGA-56-8629	30
TCGA-56-A49D	12
TCGA-56-A4BW	13
TCGA-56-A4BX	11
TCGA-56-A4BY	13
TCGA-56-A4ZK	22
TCGA-56-A5DR	28
TCGA-56-A62T	27
TCGA-58-8386	26
TCGA-58-8387	14
TCGA-58-8388	3
TCGA-58-8390	16
TCGA-58-8391	27
TCGA-58-8392	8
TCGA-58-8393	12
TCGA-58-A46J	10
TCGA-58-A46K	17
TCGA-58-A46L	19
TCGA-58-A46M	19
TCGA-58-A46N	10
TCGA-60-2695	8
TCGA-60-2696	7
TCGA-60-2697	2
TCGA-60-2698	31
TCGA-60-2703	28
TCGA-60-2706	13
TCGA-60-2707	3
TCGA-60-2708	13
TCGA-60-2710	19
TCGA-60-2711	21
TCGA-60-2712	23
TCGA-60-2713	11
TCGA-60-2714	18
TCGA-60-2716	1
TCGA-60-2719	12
TCGA-60-2720	13
TCGA-60-2721	21
TCGA-60-2722	11
TCGA-60-2723	22
TCGA-60-2724	11
TCGA-60-2726	12
TCGA-63-5128	18
TCGA-63-5131	30
TCGA-63-6202	23
TCGA-63-7020	12
TCGA-63-7021	20
TCGA-63-7023	9
TCGA-63-A5M9	25
TCGA-63-A5MB	22
TCGA-63-A5MH	16
TCGA-63-A5MI	19
TCGA-63-A5MJ	15
TCGA-63-A5ML	13
TCGA-63-A5MM	9
TCGA-63-A5MR	8
TCGA-63-A5MS	31
TCGA-63-A5MT	23
TCGA-63-A5MU	28
TCGA-63-A5MV	15
TCGA-63-A5MW	28
TCGA-63-A5MY	18
TCGA-66-2727	20
TCGA-66-2734	17
TCGA-66-2737	21
TCGA-66-2742	15
TCGA-66-2753	21
TCGA-66-2754	18
TCGA-66-2755	21
TCGA-66-2756	15
TCGA-66-2757	9
TCGA-66-2758	22
TCGA-66-2759	22
TCGA-66-2763	20
TCGA-66-2765	13
TCGA-66-2766	29
TCGA-66-2767	20
TCGA-66-2768	9
TCGA-66-2769	26
TCGA-66-2770	12
TCGA-66-2771	22
TCGA-66-2773	18
TCGA-66-2777	32
TCGA-66-2778	16
TCGA-66-2780	19
TCGA-66-2781	23
TCGA-66-2782	17
TCGA-66-2783	13
TCGA-66-2785	18
TCGA-66-2786	29
TCGA-66-2787	21
TCGA-66-2788	17
TCGA-66-2789	23
TCGA-66-2790	16
TCGA-66-2791	38
TCGA-66-2792	14
TCGA-66-2793	27
TCGA-66-2794	17
TCGA-66-2795	15
TCGA-66-2800	30
TCGA-68-7755	16
TCGA-68-7756	7
TCGA-68-8250	19
TCGA-68-8251	15
TCGA-68-A59I	22
TCGA-68-A59J	28
TCGA-6A-AB49	17
TCGA-70-6722	26
TCGA-70-6723	18
TCGA-77-6842	21
TCGA-77-6843	9
TCGA-77-6844	9
TCGA-77-6845	35
TCGA-77-7138	18
TCGA-77-7139	12
TCGA-77-7140	33
TCGA-77-7141	24
TCGA-77-7142	19
TCGA-77-7335	16
TCGA-77-7337	23
TCGA-77-7338	23
TCGA-77-7463	24
TCGA-77-7465	18
TCGA-77-8009	18
TCGA-77-8130	15
TCGA-77-8133	2
TCGA-77-8136	13
TCGA-77-8139	18
TCGA-77-8140	11
TCGA-77-8143	5
TCGA-77-8144	21
TCGA-77-8145	13
TCGA-77-8148	19
TCGA-77-8150	12
TCGA-77-8153	17
TCGA-77-8154	11
TCGA-77-8156	25
TCGA-77-A5FZ	0
TCGA-77-A5G1	10
TCGA-77-A5G3	26
TCGA-77-A5G6	22
TCGA-77-A5G7	15
TCGA-77-A5G8	21
TCGA-77-A5GA	13
TCGA-77-A5GF	19
TCGA-77-A5GH	15
TCGA-79-5596	8
TCGA-85-6175	10
TCGA-85-6560	9
TCGA-85-6561	9
TCGA-85-6798	13
TCGA-85-7696	13
TCGA-85-7697	19
TCGA-85-7698	26
TCGA-85-7699	16
TCGA-85-7710	9
TCGA-85-7843	27
TCGA-85-7844	13
TCGA-85-7950	12
TCGA-85-8052	24
TCGA-85-8070	12
TCGA-85-8071	7
TCGA-85-8072	29
TCGA-85-8276	30
TCGA-85-8277	17
TCGA-85-8287	16
TCGA-85-8288	23
TCGA-85-8350	18
TCGA-85-8351	9
TCGA-85-8352	16
TCGA-85-8354	25
TCGA-85-8479	13
TCGA-85-8481	17
TCGA-85-8580	19
TCGA-85-8584	16
TCGA-85-8664	11
TCGA-85-A4CL	18
TCGA-85-A4CN	10
TCGA-85-A4JB	18
TCGA-85-A4JC	12
TCGA-85-A4PA	0
TCGA-85-A4QQ	16
TCGA-85-A4QR	15
TCGA-85-A50Z	16
TCGA-85-A510	22
TCGA-85-A511	20
TCGA-85-A512	15
TCGA-85-A53L	34
TCGA-85-A5B5	31
TCGA-90-6837	1
TCGA-90-7766	6
TCGA-90-7767	18
TCGA-90-7769	24
TCGA-90-7964	7
TCGA-90-A4ED	8
TCGA-90-A4EE	15
TCGA-90-A59Q	26
TCGA-92-7340	23
TCGA-92-7341	38
TCGA-92-8063	5
TCGA-92-8064	17
TCGA-92-8065	15
TCGA-94-7033	23
TCGA-94-7557	13
TCGA-94-7943	11
TCGA-94-8035	11
TCGA-94-8490	10
TCGA-94-8491	35
TCGA-94-A4VJ	24
TCGA-94-A5I4	19
TCGA-94-A5I6	21
TCGA-96-7544	21
TCGA-96-7545	24
TCGA-96-8169	25
TCGA-96-8170	11
TCGA-96-A4JK	19
TCGA-96-A4JL	16
TCGA-98-7454	24
TCGA-98-8020	16
TCGA-98-8021	6
TCGA-98-8022	13
TCGA-98-A538	16
TCGA-98-A539	7
TCGA-98-A53A	17
TCGA-98-A53B	24
TCGA-98-A53D	0
TCGA-98-A53H	2
TCGA-98-A53I	11
TCGA-98-A53J	9
TCGA-J1-A4AH	22
TCGA-L3-A4E7	9
TCGA-L3-A524	17
TCGA-LA-A446	31
TCGA-LA-A7SW	19
TCGA-MF-A522	13
TCGA-NC-A5HD	18
TCGA-NC-A5HE	28
TCGA-NC-A5HF	3
TCGA-NC-A5HG	15
TCGA-NC-A5HH	24
TCGA-NC-A5HI	9
TCGA-NC-A5HJ	22
TCGA-NC-A5HK	27
TCGA-NC-A5HL	22
TCGA-NC-A5HM	15
TCGA-NC-A5HN	24
TCGA-NC-A5HO	16
TCGA-NC-A5HP	26
TCGA-NC-A5HQ	19
TCGA-NC-A5HR	20
TCGA-NC-A5HT	16
TCGA-NK-A5CR	19
TCGA-NK-A5CT	4
TCGA-NK-A5CX	13
TCGA-NK-A5D1	11
TCGA-NK-A7XE	24
TCGA-O2-A52N	27
TCGA-O2-A52Q	16
TCGA-O2-A52S	17
TCGA-O2-A52V	11
TCGA-O2-A52W	10
TCGA-O2-A5IB	18
TCGA-XC-AA0X	17
