Sample	LST
TCGA-04-1331	25
TCGA-04-1332	30
TCGA-04-1335	19
TCGA-04-1336	24
TCGA-04-1337	12
TCGA-04-1338	46
TCGA-04-1341	17
TCGA-04-1342	19
TCGA-04-1343	18
TCGA-04-1346	22
TCGA-04-1347	37
TCGA-04-1348	17
TCGA-04-1349	15
TCGA-04-1350	7
TCGA-04-1351	16
TCGA-04-1353	35
TCGA-04-1356	39
TCGA-04-1357	35
TCGA-04-1360	42
TCGA-04-1361	33
TCGA-04-1362	41
TCGA-04-1365	26
TCGA-04-1367	19
TCGA-04-1371	16
TCGA-04-1514	15
TCGA-04-1516	31
TCGA-04-1517	12
TCGA-04-1519	4
TCGA-04-1525	10
TCGA-04-1530	45
TCGA-04-1536	38
TCGA-04-1542	18
TCGA-04-1638	16
TCGA-04-1644	20
TCGA-04-1646	7
TCGA-04-1648	20
TCGA-04-1649	21
TCGA-04-1651	36
TCGA-04-1652	15
TCGA-04-1654	34
TCGA-04-1655	9
TCGA-09-0364	27
TCGA-09-0365	12
TCGA-09-0366	7
TCGA-09-0367	44
TCGA-09-0369	26
TCGA-09-1659	5
TCGA-09-1661	16
TCGA-09-1662	28
TCGA-09-1664	5
TCGA-09-1665	32
TCGA-09-1666	28
TCGA-09-1667	20
TCGA-09-1668	33
TCGA-09-1669	24
TCGA-09-1670	8
TCGA-09-1672	4
TCGA-09-1673	12
TCGA-09-1674	25
TCGA-09-1675	35
TCGA-09-2043	40
TCGA-09-2044	32
TCGA-09-2045	26
TCGA-09-2049	37
TCGA-09-2050	28
TCGA-09-2051	41
TCGA-09-2053	9
TCGA-09-2054	22
TCGA-09-2055	26
TCGA-09-2056	28
TCGA-10-0925	21
TCGA-10-0926	7
TCGA-10-0927	12
TCGA-10-0928	48
TCGA-10-0930	41
TCGA-10-0931	25
TCGA-10-0933	16
TCGA-10-0934	8
TCGA-10-0935	25
TCGA-10-0936	26
TCGA-10-0937	34
TCGA-10-0938	17
TCGA-13-0714	45
TCGA-13-0717	11
TCGA-13-0720	24
TCGA-13-0723	16
TCGA-13-0724	22
TCGA-13-0725	26
TCGA-13-0726	27
TCGA-13-0727	6
TCGA-13-0730	19
TCGA-13-0751	29
TCGA-13-0755	27
TCGA-13-0757	19
TCGA-13-0758	31
TCGA-13-0760	45
TCGA-13-0761	39
TCGA-13-0762	30
TCGA-13-0764	14
TCGA-13-0765	6
TCGA-13-0766	35
TCGA-13-0768	14
TCGA-13-0791	13
TCGA-13-0792	43
TCGA-13-0793	22
TCGA-13-0794	25
TCGA-13-0795	26
TCGA-13-0797	22
TCGA-13-0799	23
TCGA-13-0800	5
TCGA-13-0801	34
TCGA-13-0802	22
TCGA-13-0803	28
TCGA-13-0804	12
TCGA-13-0805	21
TCGA-13-0807	11
TCGA-13-0883	42
TCGA-13-0884	38
TCGA-13-0885	27
TCGA-13-0886	37
TCGA-13-0887	39
TCGA-13-0888	19
TCGA-13-0889	18
TCGA-13-0890	27
TCGA-13-0891	13
TCGA-13-0893	36
TCGA-13-0894	25
TCGA-13-0897	38
TCGA-13-0899	16
TCGA-13-0900	31
TCGA-13-0901	17
TCGA-13-0903	28
TCGA-13-0904	35
TCGA-13-0905	50
TCGA-13-0906	30
TCGA-13-0908	35
TCGA-13-0910	13
TCGA-13-0911	19
TCGA-13-0912	8
TCGA-13-0913	34
TCGA-13-0916	26
TCGA-13-0919	27
