Sample	LST
TCGA-2J-AAB1	2
TCGA-2J-AAB4	8
TCGA-2J-AAB6	6
TCGA-2J-AAB8	11
TCGA-2J-AAB9	0
TCGA-2J-AABA	4
TCGA-2J-AABE	7
TCGA-2J-AABF	8
TCGA-2J-AABH	7
TCGA-2J-AABI	5
TCGA-2J-AABO	2
TCGA-2J-AABP	25
TCGA-2J-AABR	0
TCGA-2J-AABT	4
TCGA-2J-AABU	10
TCGA-2J-AABV	0
TCGA-2L-AAQA	7
TCGA-2L-AAQE	5
TCGA-2L-AAQI	10
TCGA-2L-AAQJ	13
TCGA-2L-AAQL	8
TCGA-2L-AAQM	4
TCGA-3A-A9I5	10
TCGA-3A-A9I7	2
TCGA-3A-A9I9	34
TCGA-3A-A9IB	19
TCGA-3A-A9IC	8
TCGA-3A-A9IH	13
TCGA-3A-A9IJ	0
TCGA-3A-A9IL	5
TCGA-3A-A9IN	2
TCGA-3A-A9IO	1
TCGA-3A-A9IR	6
TCGA-3A-A9IS	1
TCGA-3A-A9IU	4
TCGA-3A-A9IV	17
TCGA-3A-A9IX	0
TCGA-3A-A9IZ	16
TCGA-3A-A9J0	11
TCGA-3E-AAAY	0
TCGA-3E-AAAZ	0
TCGA-F2-6879	3
TCGA-F2-6880	0
TCGA-F2-7276	0
TCGA-F2-A44G	14
TCGA-F2-A44H	2
TCGA-F2-A8YN	5
TCGA-FB-A4P5	0
TCGA-FB-A4P6	0
TCGA-FB-A545	11
TCGA-FB-A5VM	11
TCGA-FB-A78T	5
TCGA-FB-A7DR	19
TCGA-FB-AAPP	5
TCGA-FB-AAPQ	12
TCGA-FB-AAPU	19
TCGA-FB-AAPY	4
TCGA-FB-AAPZ	11
TCGA-FB-AAQ0	9
TCGA-FB-AAQ1	15
TCGA-FB-AAQ2	12
TCGA-FB-AAQ3	8
TCGA-FB-AAQ6	9
TCGA-FZ-5919	8
TCGA-FZ-5920	9
TCGA-FZ-5921	23
TCGA-FZ-5922	3
TCGA-FZ-5923	9
TCGA-FZ-5924	11
TCGA-FZ-5926	3
TCGA-H6-8124	1
TCGA-H6-A45N	0
TCGA-H8-A6C1	17
TCGA-HV-A5A3	18
TCGA-HV-A5A4	5
TCGA-HV-A5A5	0
TCGA-HV-A5A6	14
TCGA-HV-A7OL	3
TCGA-HV-A7OP	19
TCGA-HV-AA8V	2
TCGA-HV-AA8X	6
TCGA-HZ-7289	10
TCGA-HZ-7918	28
TCGA-HZ-7919	12
TCGA-HZ-7920	0
TCGA-HZ-7922	9
TCGA-HZ-7923	0
TCGA-HZ-7924	0
TCGA-HZ-7926	0
TCGA-HZ-8001	1
TCGA-HZ-8002	0
TCGA-HZ-8003	0
TCGA-HZ-8005	18
TCGA-HZ-8315	5
TCGA-HZ-8317	0
TCGA-HZ-8519	0
TCGA-HZ-8636	18
TCGA-HZ-8638	0
TCGA-HZ-A49H	0
TCGA-HZ-A49I	31
TCGA-HZ-A4BH	11
TCGA-HZ-A4BK	17
TCGA-HZ-A77O	8
TCGA-HZ-A77P	8
TCGA-HZ-A77Q	7
TCGA-HZ-A8P0	6
TCGA-HZ-A8P1	4
TCGA-HZ-A9TJ	14
TCGA-IB-7644	2
TCGA-IB-7646	12
TCGA-IB-7651	4
TCGA-IB-7652	30
TCGA-IB-7654	12
TCGA-IB-7885	7
TCGA-IB-7886	6
TCGA-IB-7887	13
TCGA-IB-7888	1
TCGA-IB-7889	9
TCGA-IB-7890	35
TCGA-IB-7893	10
TCGA-IB-7897	0
TCGA-IB-8126	0
TCGA-IB-8127	13
TCGA-IB-A5SP	2
TCGA-IB-A5SQ	0
TCGA-IB-A5SS	3
TCGA-IB-A5ST	0
TCGA-IB-A6UF	4
TCGA-IB-A6UG	15
TCGA-IB-A7LX	16
TCGA-IB-A7M4	16
TCGA-IB-AAUM	0
TCGA-IB-AAUN	3
TCGA-IB-AAUO	9
TCGA-IB-AAUQ	20
TCGA-IB-AAUR	6
TCGA-IB-AAUS	2
TCGA-IB-AAUT	0
TCGA-IB-AAUU	11
TCGA-IB-AAUV	0
TCGA-IB-AAUW	0
TCGA-L1-A7W4	21
TCGA-LB-A7SX	14
TCGA-LB-A8F3	30
TCGA-LB-A9Q5	0
TCGA-M8-A5N4	14
TCGA-OE-A75W	10
TCGA-PZ-A5RE	3
TCGA-Q3-A5QY	0
TCGA-Q3-AA2A	6
TCGA-RB-A7B8	3
TCGA-RB-AA9M	1
TCGA-S4-A8RM	3
TCGA-S4-A8RO	7
TCGA-S4-A8RP	11
TCGA-US-A774	0
TCGA-US-A776	22
TCGA-US-A779	1
TCGA-US-A77E	3
TCGA-US-A77G	8
TCGA-US-A77J	0
TCGA-XD-AAUG	0
TCGA-XD-AAUH	0
TCGA-XD-AAUI	10
TCGA-XD-AAUL	17
TCGA-XN-A8T3	12
TCGA-YB-A89D	4
TCGA-YH-A8SY	8
TCGA-YY-A8LH	5
TCGA-Z5-AAPL	0
