Sample	LST
TCGA-P7-A5NY	0
TCGA-P8-A5KC	0
TCGA-P8-A5KD	0
TCGA-P8-A6RX	3
TCGA-P8-A6RY	0
TCGA-PR-A5PF	8
TCGA-PR-A5PG	3
TCGA-PR-A5PH	2
TCGA-QR-A6GO	2
TCGA-QR-A6GR	3
TCGA-QR-A6GS	4
TCGA-QR-A6GT	0
TCGA-QR-A6GU	0
TCGA-QR-A6GX	0
TCGA-QR-A6GY	4
TCGA-QR-A6GZ	2
TCGA-QR-A6H0	2
TCGA-QR-A6H1	0
TCGA-QR-A6H2	5
TCGA-QR-A6H3	0
TCGA-QR-A6H4	28
TCGA-QR-A6H5	0
TCGA-QR-A6H6	2
TCGA-QR-A6ZZ	41
TCGA-QR-A700	7
TCGA-QR-A702	3
TCGA-QR-A703	28
TCGA-QR-A705	41
TCGA-QR-A707	41
TCGA-QR-A708	23
TCGA-QR-A70A	38
TCGA-QR-A70C	0
TCGA-QR-A70D	0
TCGA-QR-A70E	0
TCGA-QR-A70G	1
TCGA-QR-A70I	2
TCGA-QR-A70J	0
TCGA-QR-A70K	8
TCGA-QR-A70M	12
TCGA-QR-A70N	0
TCGA-QR-A70O	7
TCGA-QR-A70P	3
TCGA-QR-A70Q	1
TCGA-QR-A70R	22
TCGA-QR-A70T	0
TCGA-QR-A70U	36
TCGA-QR-A70V	27
TCGA-QR-A70W	2
TCGA-QR-A70X	3
TCGA-QR-A7IN	1
TCGA-QR-A7IP	1
TCGA-QT-A5XJ	7
TCGA-QT-A5XK	0
TCGA-QT-A5XL	7
TCGA-QT-A5XM	0
TCGA-QT-A5XN	7
TCGA-QT-A5XO	10
TCGA-QT-A5XP	6
TCGA-QT-A69Q	0
TCGA-QT-A7U0	2
TCGA-RM-A68T	0
TCGA-RM-A68W	4
TCGA-RT-A6Y9	0
TCGA-RT-A6YA	0
TCGA-RT-A6YC	2
TCGA-RW-A67V	3
TCGA-RW-A67W	5
TCGA-RW-A67X	1
TCGA-RW-A67Y	5
TCGA-RW-A680	0
TCGA-RW-A681	3
TCGA-RW-A684	2
TCGA-RW-A685	1
TCGA-RW-A686	2
TCGA-RW-A688	5
TCGA-RW-A689	5
TCGA-RW-A68A	3
TCGA-RW-A68B	3
TCGA-RW-A68C	0
TCGA-RW-A68D	3
TCGA-RW-A68F	0
TCGA-RW-A68G	1
TCGA-RW-A7CZ	0
TCGA-RW-A7D0	5
TCGA-RW-A8AZ	4
TCGA-RX-A8JQ	1
TCGA-S7-A7WL	6
TCGA-S7-A7WM	5
TCGA-S7-A7WN	6
TCGA-S7-A7WO	0
TCGA-S7-A7WP	2
TCGA-S7-A7WQ	0
TCGA-S7-A7WR	2
TCGA-S7-A7WT	1
TCGA-S7-A7WU	0
TCGA-S7-A7WW	0
TCGA-S7-A7WX	1
TCGA-S7-A7X0	0
TCGA-S7-A7X1	0
TCGA-S7-A7X2	1
TCGA-SP-A6QC	0
TCGA-SP-A6QD	3
TCGA-SP-A6QF	3
TCGA-SP-A6QG	27
TCGA-SP-A6QI	2
TCGA-SP-A6QJ	19
TCGA-SP-A6QK	0
TCGA-SQ-A6I4	0
TCGA-SQ-A6I6	1
TCGA-SR-A6MP	4
TCGA-SR-A6MQ	8
TCGA-SR-A6MR	6
TCGA-SR-A6MS	2
TCGA-SR-A6MU	0
TCGA-SR-A6MV	1
TCGA-SR-A6MX	7
TCGA-SR-A6MY	7
TCGA-SR-A6MZ	7
TCGA-SR-A6N0	2
TCGA-TT-A6YJ	4
TCGA-TT-A6YK	2
TCGA-TT-A6YN	2
TCGA-TT-A6YP	10
TCGA-W2-A7H5	0
TCGA-W2-A7H7	7
TCGA-W2-A7HA	3
TCGA-W2-A7HB	36
TCGA-W2-A7HC	1
TCGA-W2-A7HD	1
TCGA-W2-A7HE	0
TCGA-W2-A7HF	3
TCGA-W2-A7HH	0
TCGA-W2-A7UY	4
TCGA-WB-A80K	1
TCGA-WB-A80L	1
TCGA-WB-A80M	3
TCGA-WB-A80N	2
TCGA-WB-A80O	4
TCGA-WB-A80P	2
TCGA-WB-A80Q	0
TCGA-WB-A80V	0
TCGA-WB-A80Y	4
TCGA-WB-A814	6
TCGA-WB-A815	1
TCGA-WB-A816	0
TCGA-WB-A817	0
TCGA-WB-A818	2
TCGA-WB-A819	0
TCGA-WB-A81A	3
TCGA-WB-A81D	13
TCGA-WB-A81E	3
TCGA-WB-A81F	4
TCGA-WB-A81G	2
TCGA-WB-A81H	2
TCGA-WB-A81I	3
TCGA-WB-A81J	3
TCGA-WB-A81K	9
TCGA-WB-A81M	5
TCGA-WB-A81N	3
TCGA-WB-A81P	4
TCGA-WB-A81Q	3
TCGA-WB-A81R	2
TCGA-WB-A81S	8
TCGA-WB-A81T	3
TCGA-WB-A81V	2
TCGA-WB-A81W	3
TCGA-WB-A820	14
TCGA-WB-A821	3
TCGA-WB-A822	1
TCGA-XG-A823	2
