Sample	LST
TCGA-2A-A8VL	4
TCGA-2A-A8VO	7
TCGA-2A-A8VT	15
TCGA-2A-A8VV	1
TCGA-2A-A8VX	4
TCGA-2A-A8W1	8
TCGA-2A-A8W3	7
TCGA-2A-AAYF	4
TCGA-2A-AAYO	3
TCGA-2A-AAYU	4
TCGA-4L-AA1F	27
TCGA-CH-5737	8
TCGA-CH-5738	0
TCGA-CH-5739	1
TCGA-CH-5740	7
TCGA-CH-5741	7
TCGA-CH-5743	0
TCGA-CH-5744	5
TCGA-CH-5745	0
TCGA-CH-5746	1
TCGA-CH-5750	1
TCGA-CH-5751	15
TCGA-CH-5752	2
TCGA-CH-5753	12
TCGA-CH-5754	22
TCGA-CH-5761	14
TCGA-CH-5762	11
TCGA-CH-5764	10
TCGA-CH-5765	7
TCGA-CH-5766	10
TCGA-CH-5767	6
TCGA-CH-5768	7
TCGA-CH-5769	5
TCGA-CH-5771	21
TCGA-CH-5772	7
TCGA-CH-5788	12
TCGA-CH-5790	26
TCGA-CH-5791	8
TCGA-CH-5792	13
TCGA-CH-5794	6
TCGA-EJ-5494	0
TCGA-EJ-5495	16
TCGA-EJ-5496	7
TCGA-EJ-5497	7
TCGA-EJ-5498	2
TCGA-EJ-5499	8
TCGA-EJ-5501	8
TCGA-EJ-5504	21
TCGA-EJ-5505	7
TCGA-EJ-5506	0
TCGA-EJ-5507	5
TCGA-EJ-5508	4
TCGA-EJ-5509	14
TCGA-EJ-5510	9
TCGA-EJ-5511	7
TCGA-EJ-5512	7
TCGA-EJ-5514	29
TCGA-EJ-5515	4
TCGA-EJ-5516	3
TCGA-EJ-5517	8
TCGA-EJ-5518	15
TCGA-EJ-5519	12
TCGA-EJ-5521	19
TCGA-EJ-5522	7
TCGA-EJ-5524	8
TCGA-EJ-5525	15
TCGA-EJ-5526	9
TCGA-EJ-5527	17
TCGA-EJ-5530	3
TCGA-EJ-5531	17
TCGA-EJ-5532	2
TCGA-EJ-5542	3
TCGA-EJ-7115	5
TCGA-EJ-7123	16
TCGA-EJ-7125	2
TCGA-EJ-7218	12
TCGA-EJ-7312	14
TCGA-EJ-7314	3
TCGA-EJ-7315	8
TCGA-EJ-7317	6
TCGA-EJ-7318	7
TCGA-EJ-7321	8
TCGA-EJ-7325	3
TCGA-EJ-7327	8
TCGA-EJ-7328	5
TCGA-EJ-7330	20
TCGA-EJ-7331	8
TCGA-EJ-7781	5
TCGA-EJ-7782	13
TCGA-EJ-7783	6
TCGA-EJ-7784	12
TCGA-EJ-7785	5
TCGA-EJ-7786	6
TCGA-EJ-7788	4
TCGA-EJ-7789	19
TCGA-EJ-7791	9
TCGA-EJ-7792	2
TCGA-EJ-7793	2
TCGA-EJ-7794	19
TCGA-EJ-7797	4
TCGA-EJ-8468	7
TCGA-EJ-8469	8
TCGA-EJ-8470	13
TCGA-EJ-8472	12
TCGA-EJ-A46B	2
TCGA-EJ-A46D	4
TCGA-EJ-A46E	0
TCGA-EJ-A46F	16
TCGA-EJ-A46G	9
TCGA-EJ-A46H	0
TCGA-EJ-A46I	2
TCGA-EJ-A65B	12
TCGA-EJ-A65D	8
TCGA-EJ-A65E	2
TCGA-EJ-A65F	17
TCGA-EJ-A65G	9
TCGA-EJ-A65J	18
TCGA-EJ-A65M	11
TCGA-EJ-A6RA	4
TCGA-EJ-A6RC	0
TCGA-EJ-A7NF	1
TCGA-EJ-A7NG	6
TCGA-EJ-A7NH	16
TCGA-EJ-A7NJ	0
TCGA-EJ-A7NK	0
TCGA-EJ-A7NM	5
TCGA-EJ-A8FN	4
TCGA-EJ-A8FO	0
TCGA-EJ-A8FP	0
TCGA-EJ-A8FS	12
TCGA-EJ-AB27	2
TCGA-FC-7708	2
TCGA-FC-7961	26
TCGA-FC-A4JI	22
TCGA-FC-A5OB	8
TCGA-FC-A66V	0
TCGA-FC-A6HD	1
TCGA-FC-A8O0	2
TCGA-G9-6329	8
TCGA-G9-6332	5
TCGA-G9-6333	4
TCGA-G9-6336	0
TCGA-G9-6338	11
TCGA-G9-6339	0
TCGA-G9-6342	12
TCGA-G9-6347	0
TCGA-G9-6348	4
TCGA-G9-6351	10
TCGA-G9-6353	3
TCGA-G9-6354	4
TCGA-G9-6356	9
TCGA-G9-6361	6
TCGA-G9-6362	12
TCGA-G9-6363	11
TCGA-G9-6364	2
TCGA-G9-6365	5
TCGA-G9-6366	6
TCGA-G9-6367	4
TCGA-G9-6369	11
TCGA-G9-6370	0
TCGA-G9-6371	0
TCGA-G9-6373	5
TCGA-G9-6377	5
TCGA-G9-6378	6
TCGA-G9-6379	17
TCGA-G9-6384	9
TCGA-G9-6385	0
TCGA-G9-6494	11
TCGA-G9-6496	8
TCGA-G9-6498	2
TCGA-G9-6499	31
TCGA-G9-7509	2
TCGA-G9-7510	19
TCGA-G9-7519	1
TCGA-G9-7521	13
TCGA-G9-7522	2
TCGA-G9-7525	2
TCGA-G9-A9S0	9
TCGA-G9-A9S4	20
TCGA-G9-A9S7	4
TCGA-H9-7775	4
TCGA-H9-A6BX	0
TCGA-H9-A6BY	2
TCGA-HC-7075	2
TCGA-HC-7077	29
TCGA-HC-7078	15
TCGA-HC-7079	0
TCGA-HC-7080	7
TCGA-HC-7081	5
TCGA-HC-7209	7
TCGA-HC-7210	10
TCGA-HC-7211	3
TCGA-HC-7212	9
TCGA-HC-7213	12
TCGA-HC-7230	4
TCGA-HC-7231	10
TCGA-HC-7232	8
TCGA-HC-7233	0
TCGA-HC-7736	15
TCGA-HC-7737	12
TCGA-HC-7738	6
TCGA-HC-7740	0
TCGA-HC-7742	7
TCGA-HC-7744	27
TCGA-HC-7745	16
TCGA-HC-7747	14
TCGA-HC-7748	28
TCGA-HC-7749	9
TCGA-HC-7752	4
TCGA-HC-7817	6
TCGA-HC-7818	3
TCGA-HC-7819	3
TCGA-HC-7820	4
TCGA-HC-7821	18
TCGA-HC-8213	2
TCGA-HC-8216	31
TCGA-HC-8256	4
TCGA-HC-8257	6
TCGA-HC-8258	2
TCGA-HC-8259	0
TCGA-HC-8260	3
TCGA-HC-8261	4
TCGA-HC-8262	4
TCGA-HC-8264	12
TCGA-HC-8266	9
TCGA-HC-A48F	12
TCGA-HC-A4ZV	31
TCGA-HC-A631	7
TCGA-HC-A632	20
TCGA-HC-A6AL	11
TCGA-HC-A6AN	6
TCGA-HC-A6AO	13
TCGA-HC-A6AP	12
TCGA-HC-A6AQ	7
TCGA-HC-A6AS	5
TCGA-HC-A6HX	2
TCGA-HC-A6HY	5
TCGA-HC-A76W	5
TCGA-HC-A76X	2
TCGA-HC-A8CY	3
TCGA-HC-A8D0	5
TCGA-HC-A8D1	3
TCGA-HC-A9TE	21
TCGA-HC-A9TH	6
TCGA-HI-7168	12
TCGA-HI-7169	0
TCGA-HI-7170	6
TCGA-HI-7171	11
TCGA-J4-8198	2
TCGA-J4-8200	4
TCGA-J4-A67K	7
TCGA-J4-A67L	6
TCGA-J4-A67M	16
TCGA-J4-A67N	11
TCGA-J4-A67O	0
TCGA-J4-A67R	4
TCGA-J4-A67S	13
TCGA-J4-A67T	0
TCGA-J4-A6G1	0
TCGA-J4-A6G3	7
TCGA-J4-A6M7	0
TCGA-J4-A83I	10
TCGA-J4-A83J	15
TCGA-J4-A83K	4
TCGA-J4-A83L	3
TCGA-J4-A83M	0
TCGA-J4-A83N	8
TCGA-J4-AATV	0
TCGA-J4-AATZ	7
TCGA-J4-AAU2	0
TCGA-J9-A52B	15
TCGA-J9-A52C	5
TCGA-J9-A52E	13
TCGA-J9-A8CK	12
TCGA-J9-A8CL	15
TCGA-J9-A8CM	16
TCGA-J9-A8CN	9
TCGA-J9-A8CP	15
TCGA-KC-A4BL	2
TCGA-KC-A4BN	0
TCGA-KC-A4BO	0
TCGA-KC-A4BR	0
TCGA-KC-A4BV	14
TCGA-KC-A7F3	10
TCGA-KC-A7F5	39
TCGA-KC-A7F6	12
TCGA-KC-A7FA	9
TCGA-KC-A7FD	3
TCGA-KK-A59V	10
TCGA-KK-A59X	14
TCGA-KK-A59Y	8
TCGA-KK-A59Z	26
TCGA-KK-A6DY	8
TCGA-KK-A6E0	19
TCGA-KK-A6E1	21
TCGA-KK-A6E2	3
TCGA-KK-A6E3	0
TCGA-KK-A6E4	7
TCGA-KK-A6E5	20
TCGA-KK-A6E6	32
TCGA-KK-A6E7	8
TCGA-KK-A6E8	13
TCGA-KK-A7AP	15
TCGA-KK-A7AQ	11
TCGA-KK-A7AU	12
TCGA-KK-A7AV	13
TCGA-KK-A7AW	8
TCGA-KK-A7AY	9
TCGA-KK-A7AZ	11
TCGA-KK-A7B0	13
TCGA-KK-A7B1	7
TCGA-KK-A7B2	0
TCGA-KK-A7B3	14
TCGA-KK-A7B4	14
TCGA-KK-A8I4	17
TCGA-KK-A8I5	12
TCGA-KK-A8I6	9
TCGA-KK-A8I7	9
TCGA-KK-A8I8	4
TCGA-KK-A8I9	16
TCGA-KK-A8IA	7
TCGA-KK-A8IB	16
TCGA-KK-A8IC	11
TCGA-KK-A8ID	5
TCGA-KK-A8IF	15
TCGA-KK-A8IG	6
TCGA-KK-A8IH	5
TCGA-KK-A8II	7
TCGA-KK-A8IJ	7
TCGA-KK-A8IK	18
TCGA-KK-A8IL	3
TCGA-KK-A8IM	9
TCGA-M7-A71Y	2
TCGA-M7-A71Z	3
TCGA-M7-A720	0
TCGA-M7-A721	17
TCGA-M7-A722	8
TCGA-M7-A723	0
TCGA-M7-A724	9
TCGA-M7-A725	6
TCGA-MG-AAMC	5
TCGA-QU-A6IL	7
TCGA-QU-A6IM	8
TCGA-QU-A6IN	6
TCGA-QU-A6IO	7
TCGA-QU-A6IP	6
TCGA-SU-A7E7	4
TCGA-TK-A8OK	9
TCGA-TP-A8TT	7
TCGA-TP-A8TV	17
TCGA-V1-A8MF	9
TCGA-V1-A8MG	21
TCGA-V1-A8MJ	11
TCGA-V1-A8MK	0
TCGA-V1-A8ML	3
TCGA-V1-A8MM	10
TCGA-V1-A8MU	8
TCGA-V1-A8WL	3
TCGA-V1-A8WN	4
TCGA-V1-A8WS	10
TCGA-V1-A8WV	18
TCGA-V1-A8WW	14
TCGA-V1-A8X3	9
TCGA-V1-A9O5	18
TCGA-V1-A9O9	12
TCGA-V1-A9OA	15
TCGA-V1-A9OF	2
TCGA-V1-A9OH	10
TCGA-V1-A9OL	15
TCGA-V1-A9OQ	5
TCGA-V1-A9OT	8
TCGA-V1-A9OX	11
TCGA-V1-A9OY	6
TCGA-V1-A9Z7	13
TCGA-V1-A9Z8	7
TCGA-V1-A9Z9	12
TCGA-V1-A9ZG	1
TCGA-V1-A9ZI	3
TCGA-V1-A9ZK	18
TCGA-V1-A9ZR	13
TCGA-VN-A88K	12
TCGA-VN-A88L	17
TCGA-VN-A88M	2
TCGA-VN-A88N	3
TCGA-VN-A88O	8
TCGA-VN-A88P	11
TCGA-VN-A88Q	4
TCGA-VN-A88R	17
TCGA-VN-A943	5
TCGA-VP-A872	10
TCGA-VP-A875	17
TCGA-VP-A876	22
TCGA-VP-A878	20
TCGA-VP-A879	2
TCGA-VP-A87B	10
TCGA-VP-A87C	7
TCGA-VP-A87D	12
TCGA-VP-A87E	0
TCGA-VP-A87H	10
TCGA-VP-A87J	3
TCGA-VP-A87K	21
TCGA-VP-AA1N	17
TCGA-WW-A8ZI	4
TCGA-X4-A8KQ	7
TCGA-XA-A8JR	6
TCGA-XJ-A83F	9
TCGA-XJ-A83G	19
TCGA-XJ-A83H	8
TCGA-XJ-A9DK	4
TCGA-XJ-A9DQ	2
TCGA-XJ-A9DX	10
