Sample	LST
TCGA-AF-2687	8
TCGA-AF-2689	9
TCGA-AF-2690	6
TCGA-AF-2691	9
TCGA-AF-2692	12
TCGA-AF-2693	9
TCGA-AF-3911	6
TCGA-AF-3913	8
TCGA-AF-4110	9
TCGA-AF-5654	3
TCGA-AF-6136	9
TCGA-AF-6655	8
TCGA-AF-6672	6
TCGA-AF-A56K	4
TCGA-AF-A56L	12
TCGA-AF-A56N	8
TCGA-AG-3574	0
TCGA-AG-3575	2
TCGA-AG-3578	20
TCGA-AG-3580	2
TCGA-AG-3581	6
TCGA-AG-3582	13
TCGA-AG-3583	23
TCGA-AG-3584	6
TCGA-AG-3586	5
TCGA-AG-3587	19
TCGA-AG-3591	15
TCGA-AG-3592	7
TCGA-AG-3593	7
TCGA-AG-3594	10
TCGA-AG-3598	8
TCGA-AG-3599	10
TCGA-AG-3600	41
TCGA-AG-3601	13
TCGA-AG-3602	7
TCGA-AG-3605	13
TCGA-AG-3608	3
TCGA-AG-3609	15
TCGA-AG-3611	21
TCGA-AG-3612	18
TCGA-AG-3725	4
TCGA-AG-3726	9
TCGA-AG-3727	14
TCGA-AG-3728	9
TCGA-AG-3731	16
TCGA-AG-3732	15
TCGA-AG-3742	21
TCGA-AG-3878	1
TCGA-AG-3881	10
TCGA-AG-3882	12
TCGA-AG-3883	12
TCGA-AG-3885	4
TCGA-AG-3887	3
TCGA-AG-3890	17
TCGA-AG-3892	0
TCGA-AG-3893	16
TCGA-AG-3896	5
TCGA-AG-3898	10
TCGA-AG-3901	3
TCGA-AG-3902	5
TCGA-AG-3909	12
TCGA-AG-3999	17
TCGA-AG-4001	24
TCGA-AG-4005	9
TCGA-AG-4007	11
TCGA-AG-4008	11
TCGA-AG-4015	8
TCGA-AG-4021	7
TCGA-AG-4022	6
TCGA-AG-A008	6
TCGA-AG-A00C	29
TCGA-AG-A00H	4
TCGA-AG-A00Y	25
TCGA-AG-A011	31
TCGA-AG-A014	5
TCGA-AG-A015	2
TCGA-AG-A016	10
TCGA-AG-A01J	3
TCGA-AG-A01L	12
TCGA-AG-A01N	14
TCGA-AG-A01W	18
TCGA-AG-A01Y	9
TCGA-AG-A020	10
TCGA-AG-A023	6
TCGA-AG-A025	11
TCGA-AG-A026	8
TCGA-AG-A02G	9
TCGA-AG-A02N	4
TCGA-AG-A02X	4
TCGA-AG-A032	7
TCGA-AG-A036	17
TCGA-AH-6544	14
TCGA-AH-6547	2
TCGA-AH-6643	8
TCGA-AH-6644	12
TCGA-AH-6897	7
TCGA-AH-6903	2
TCGA-BM-6198	22
TCGA-CI-6619	16
TCGA-CI-6620	12
TCGA-CI-6621	13
TCGA-CI-6622	10
TCGA-CI-6623	11
TCGA-CI-6624	17
TCGA-CL-4957	19
TCGA-CL-5917	11
TCGA-CL-5918	7
TCGA-DC-4745	13
TCGA-DC-4749	5
TCGA-DC-5337	2
TCGA-DC-5869	17
TCGA-DC-6154	4
TCGA-DC-6155	7
TCGA-DC-6156	18
TCGA-DC-6157	11
TCGA-DC-6158	4
TCGA-DC-6160	4
TCGA-DC-6681	2
TCGA-DC-6682	7
TCGA-DC-6683	4
TCGA-DT-5265	3
TCGA-DY-A0XA	9
TCGA-DY-A1DC	8
TCGA-DY-A1DD	2
TCGA-DY-A1DE	18
TCGA-DY-A1DF	8
TCGA-DY-A1DG	14
TCGA-DY-A1H8	8
TCGA-EF-5830	7
TCGA-EF-5831	15
TCGA-EI-6506	7
TCGA-EI-6507	1
TCGA-EI-6508	17
TCGA-EI-6509	7
TCGA-EI-6510	8
TCGA-EI-6511	6
TCGA-EI-6512	4
TCGA-EI-6513	5
TCGA-EI-6514	10
TCGA-EI-6881	7
TCGA-EI-6882	1
TCGA-EI-6883	4
TCGA-EI-6884	14
TCGA-EI-6885	11
TCGA-EI-6917	0
TCGA-EI-7002	15
TCGA-EI-7004	25
TCGA-F5-6464	8
TCGA-F5-6465	3
TCGA-F5-6571	9
TCGA-F5-6702	3
TCGA-F5-6810	9
TCGA-F5-6811	7
TCGA-F5-6812	28
TCGA-F5-6813	8
TCGA-F5-6814	6
TCGA-F5-6861	3
TCGA-F5-6863	16
TCGA-F5-6864	19
TCGA-G5-6233	19
TCGA-G5-6572	4
TCGA-G5-6641	14
