Sample	LST
TCGA-3B-A9HI	21
TCGA-3B-A9HJ	0
TCGA-3B-A9HL	17
TCGA-3B-A9HO	5
TCGA-3B-A9HP	4
TCGA-3B-A9HQ	24
TCGA-3B-A9HR	18
TCGA-3B-A9HS	28
TCGA-3B-A9HT	4
TCGA-3B-A9HU	5
TCGA-3B-A9HV	10
TCGA-3B-A9HX	16
TCGA-3B-A9HY	5
TCGA-3B-A9HZ	9
TCGA-3B-A9I0	5
TCGA-3B-A9I1	7
TCGA-3B-A9I3	17
TCGA-3R-A8YX	20
TCGA-DX-A1KU	9
TCGA-DX-A1KW	6
TCGA-DX-A1KX	25
TCGA-DX-A1KY	14
TCGA-DX-A1KZ	20
TCGA-DX-A1L0	22
TCGA-DX-A1L1	12
TCGA-DX-A1L2	27
TCGA-DX-A1L3	0
TCGA-DX-A1L4	0
TCGA-DX-A23U	0
TCGA-DX-A23V	0
TCGA-DX-A23Y	18
TCGA-DX-A240	3
TCGA-DX-A2IZ	3
TCGA-DX-A2J0	4
TCGA-DX-A2J1	1
TCGA-DX-A2J4	0
TCGA-DX-A3LS	1
TCGA-DX-A3LT	9
TCGA-DX-A3LU	9
TCGA-DX-A3LW	12
TCGA-DX-A3LY	15
TCGA-DX-A3M1	20
TCGA-DX-A3M2	17
TCGA-DX-A3U5	14
TCGA-DX-A3U6	0
TCGA-DX-A3U7	19
TCGA-DX-A3U8	15
TCGA-DX-A3U9	9
TCGA-DX-A3UA	8
TCGA-DX-A3UB	2
TCGA-DX-A3UC	18
TCGA-DX-A3UD	16
TCGA-DX-A3UE	7
TCGA-DX-A3UF	14
TCGA-DX-A48J	12
TCGA-DX-A48K	8
TCGA-DX-A48L	17
TCGA-DX-A48N	11
TCGA-DX-A48O	10
TCGA-DX-A48P	5
TCGA-DX-A48R	14
TCGA-DX-A48U	8
TCGA-DX-A48V	7
TCGA-DX-A6B7	12
TCGA-DX-A6B8	15
TCGA-DX-A6B9	5
TCGA-DX-A6BA	18
TCGA-DX-A6BB	8
TCGA-DX-A6BE	0
TCGA-DX-A6BF	16
TCGA-DX-A6BH	0
TCGA-DX-A6BK	18
TCGA-DX-A6YQ	19
TCGA-DX-A6YR	15
TCGA-DX-A6YS	33
TCGA-DX-A6YT	13
TCGA-DX-A6YU	26
TCGA-DX-A6YV	11
TCGA-DX-A6YX	13
TCGA-DX-A6YZ	14
TCGA-DX-A6Z0	23
TCGA-DX-A6Z2	6
TCGA-DX-A7EF	21
TCGA-DX-A7EI	8
TCGA-DX-A7EL	18
TCGA-DX-A7EN	11
TCGA-DX-A7EO	1
TCGA-DX-A7EQ	1
TCGA-DX-A7ER	0
TCGA-DX-A7ET	13
TCGA-DX-A8BG	30
TCGA-DX-A8BH	23
TCGA-DX-A8BJ	19
TCGA-DX-A8BK	21
TCGA-DX-A8BL	14
TCGA-DX-A8BM	29
TCGA-DX-A8BN	15
TCGA-DX-A8BO	22
TCGA-DX-A8BP	15
TCGA-DX-A8BQ	11
TCGA-DX-A8BR	19
TCGA-DX-A8BT	9
TCGA-DX-A8BU	29
TCGA-DX-A8BV	26
TCGA-DX-A8BX	9
TCGA-DX-A8BZ	12
TCGA-DX-AATS	26
TCGA-DX-AB2E	16
TCGA-DX-AB2F	12
TCGA-DX-AB2G	8
TCGA-DX-AB2H	11
TCGA-DX-AB2J	11
TCGA-DX-AB2L	0
TCGA-DX-AB2O	21
TCGA-DX-AB2P	24
TCGA-DX-AB2Q	19
TCGA-DX-AB2T	28
TCGA-DX-AB2V	20
TCGA-DX-AB2W	33
TCGA-DX-AB2X	9
TCGA-DX-AB2Z	21
TCGA-DX-AB30	0
TCGA-DX-AB32	21
TCGA-DX-AB35	20
TCGA-DX-AB36	7
TCGA-DX-AB37	10
TCGA-DX-AB3A	7
TCGA-DX-AB3B	3
TCGA-DX-AB3C	2
TCGA-FX-A3NJ	5
TCGA-FX-A3NK	5
TCGA-FX-A3RE	23
TCGA-FX-A3TO	25
TCGA-FX-A48G	14
TCGA-FX-A76Y	6
TCGA-HB-A2OT	21
TCGA-HB-A3L4	19
TCGA-HB-A3YV	20
TCGA-HB-A43Z	22
TCGA-HB-A5W3	14
TCGA-HS-A5N7	6
TCGA-HS-A5N8	23
TCGA-HS-A5N9	25
TCGA-HS-A5NA	7
TCGA-IE-A3OV	16
TCGA-IE-A4EH	11
TCGA-IE-A4EI	14
TCGA-IE-A4EJ	21
TCGA-IE-A4EK	7
TCGA-IE-A6BZ	26
TCGA-IF-A4AJ	11
TCGA-IF-A4AK	16
TCGA-IS-A3K6	6
TCGA-IS-A3K7	13
TCGA-IS-A3K8	0
TCGA-IS-A3KA	23
TCGA-IW-A3M4	8
TCGA-IW-A3M5	11
TCGA-IW-A3M6	19
TCGA-JV-A5VE	10
TCGA-JV-A5VF	16
TCGA-JV-A75J	7
TCGA-K1-A3PN	7
TCGA-K1-A3PO	0
TCGA-K1-A42W	9
TCGA-K1-A42X	22
TCGA-K1-A6RT	12
TCGA-K1-A6RU	27
TCGA-K1-A6RV	22
TCGA-KD-A5QS	33
TCGA-KD-A5QT	13
TCGA-KD-A5QU	18
TCGA-KF-A41W	19
TCGA-LI-A67I	17
TCGA-LI-A9QH	21
TCGA-MB-A5Y8	14
TCGA-MB-A5Y9	22
TCGA-MB-A5YA	5
TCGA-MB-A8JK	13
TCGA-MB-A8JL	6
TCGA-MJ-A68H	15
TCGA-MJ-A68J	2
TCGA-MJ-A850	0
