Sample	LST
TCGA-2E-A9G8	14
TCGA-5B-A90C	13
TCGA-5S-A9Q8	2
TCGA-A5-A0G1	1
TCGA-A5-A0G2	5
TCGA-A5-A0G3	13
TCGA-A5-A0G5	23
TCGA-A5-A0G9	1
TCGA-A5-A0GA	3
TCGA-A5-A0GB	2
TCGA-A5-A0GD	0
TCGA-A5-A0GE	8
TCGA-A5-A0GG	3
TCGA-A5-A0GH	2
TCGA-A5-A0GJ	23
TCGA-A5-A0GN	0
TCGA-A5-A0GP	0
TCGA-A5-A0GQ	2
TCGA-A5-A0GR	13
TCGA-A5-A0R6	10
TCGA-A5-A0R7	7
TCGA-A5-A0R8	0
TCGA-A5-A0VP	2
TCGA-A5-A1OG	16
TCGA-A5-A1OH	22
TCGA-A5-A1OJ	1
TCGA-A5-A1OK	13
TCGA-A5-A2K2	13
TCGA-A5-A2K3	5
TCGA-A5-A2K4	13
TCGA-A5-A2K5	0
TCGA-A5-A2K7	0
TCGA-A5-A3LO	9
TCGA-A5-A3LP	21
TCGA-A5-A7WK	8
TCGA-A5-AB3J	11
TCGA-AJ-A23M	8
TCGA-AJ-A23N	18
TCGA-AJ-A23O	3
TCGA-AJ-A2QK	18
TCGA-AJ-A2QL	0
TCGA-AJ-A2QM	14
TCGA-AJ-A2QN	5
TCGA-AJ-A2QO	2
TCGA-AJ-A3BD	17
TCGA-AJ-A3BF	12
TCGA-AJ-A3BG	0
TCGA-AJ-A3BH	4
TCGA-AJ-A3BI	5
TCGA-AJ-A3EJ	15
TCGA-AJ-A3EK	11
TCGA-AJ-A3EL	4
TCGA-AJ-A3EM	16
TCGA-AJ-A3I9	4
TCGA-AJ-A3IA	48
TCGA-AJ-A3NE	3
TCGA-AJ-A3NF	15
TCGA-AJ-A3NG	4
TCGA-AJ-A3NH	17
TCGA-AJ-A3OK	0
TCGA-AJ-A3OL	1
TCGA-AJ-A3QS	13
TCGA-AJ-A3TW	27
TCGA-AJ-A5DV	0
TCGA-AJ-A5DW	0
TCGA-AJ-A6NU	4
TCGA-AJ-A8CT	0
TCGA-AJ-A8CV	1
TCGA-AP-A051	1
TCGA-AP-A052	6
TCGA-AP-A053	8
TCGA-AP-A054	1
TCGA-AP-A056	1
TCGA-AP-A059	3
TCGA-AP-A05A	5
TCGA-AP-A05D	17
TCGA-AP-A05H	14
TCGA-AP-A05J	12
TCGA-AP-A05N	1
TCGA-AP-A0L8	20
TCGA-AP-A0L9	19
TCGA-AP-A0LE	2
TCGA-AP-A0LF	20
TCGA-AP-A0LG	0
TCGA-AP-A0LH	2
TCGA-AP-A0LI	14
TCGA-AP-A0LJ	1
TCGA-AP-A0LL	3
TCGA-AP-A0LM	0
TCGA-AP-A0LQ	7
TCGA-AP-A0LS	7
TCGA-AP-A0LT	2
TCGA-AP-A0LV	0
TCGA-AP-A1DH	0
TCGA-AP-A1DK	2
TCGA-AP-A1DO	1
TCGA-AP-A1DP	1
TCGA-AP-A1DQ	13
TCGA-AP-A1DR	0
TCGA-AP-A1E3	1
TCGA-AP-A3K1	14
TCGA-AP-A5FX	27
TCGA-AW-A1PO	31
TCGA-AX-A05S	3
TCGA-AX-A05T	13
TCGA-AX-A05U	8
TCGA-AX-A05Z	3
TCGA-AX-A062	2
TCGA-AX-A06B	14
TCGA-AX-A06D	3
TCGA-AX-A06F	2
TCGA-AX-A06H	2
TCGA-AX-A06J	3
TCGA-AX-A06L	10
TCGA-AX-A0IS	2
TCGA-AX-A0IU	9
TCGA-AX-A0IW	11
TCGA-AX-A0J1	0
TCGA-AX-A1C4	0
TCGA-AX-A1C7	22
TCGA-AX-A1C8	13
TCGA-AX-A1C9	1
TCGA-AX-A1CA	18
TCGA-AX-A1CE	0
TCGA-AX-A1CF	45
TCGA-AX-A1CI	2
TCGA-AX-A1CJ	1
TCGA-AX-A1CK	5
TCGA-AX-A1CN	5
TCGA-AX-A1CP	5
TCGA-AX-A1CR	9
TCGA-AX-A2H2	28
TCGA-AX-A2H4	16
TCGA-AX-A2H5	25
TCGA-AX-A2H7	3
TCGA-AX-A2H8	22
TCGA-AX-A2HD	4
TCGA-AX-A2HF	13
TCGA-AX-A2HG	0
TCGA-AX-A2HH	3
TCGA-AX-A2HJ	4
TCGA-AX-A2HK	16
TCGA-AX-A2IN	16
TCGA-AX-A2IO	9
TCGA-AX-A3FS	2
TCGA-AX-A3FV	21
TCGA-AX-A3FW	16
TCGA-AX-A3FX	15
TCGA-AX-A3FZ	3
TCGA-AX-A3G1	12
TCGA-AX-A3G3	44
TCGA-AX-A3G4	22
TCGA-AX-A3G6	19
TCGA-AX-A3G7	11
TCGA-AX-A3G8	0
TCGA-AX-A3G9	1
TCGA-AX-A3GB	1
TCGA-AX-A3GI	17
TCGA-B5-A0JN	26
TCGA-B5-A0JS	2
TCGA-B5-A0JU	0
TCGA-B5-A0JX	15
TCGA-B5-A0JZ	1
TCGA-B5-A0K1	2
TCGA-B5-A0K2	0
TCGA-B5-A0K3	12
TCGA-B5-A0K4	1
TCGA-B5-A0K6	6
TCGA-B5-A0K8	11
TCGA-B5-A0K9	1
TCGA-B5-A0KB	17
TCGA-B5-A11E	2
TCGA-B5-A11F	4
TCGA-B5-A11G	8
TCGA-B5-A11H	3
TCGA-B5-A11I	20
TCGA-B5-A11J	20
TCGA-B5-A11L	2
TCGA-B5-A11M	2
TCGA-B5-A11N	1
TCGA-B5-A11O	0
TCGA-B5-A11P	0
TCGA-B5-A11Q	4
TCGA-B5-A11S	1
TCGA-B5-A11U	1
TCGA-B5-A11W	1
TCGA-B5-A11X	1
TCGA-B5-A11Y	1
TCGA-B5-A11Z	1
TCGA-B5-A121	13
TCGA-B5-A1MR	4
TCGA-B5-A1MS	20
TCGA-B5-A1MU	28
TCGA-B5-A1MV	3
TCGA-B5-A1MY	8
TCGA-B5-A1N2	28
TCGA-B5-A3F9	7
TCGA-B5-A3FA	0
TCGA-B5-A3FC	0
TCGA-B5-A3FD	9
TCGA-B5-A3FH	1
TCGA-B5-A3S1	9
TCGA-B5-A5OD	20
TCGA-B5-A5OE	10
TCGA-BG-A0LW	1
TCGA-BG-A0LX	1
TCGA-BG-A0M2	4
TCGA-BG-A0M4	1
TCGA-BG-A0M6	18
TCGA-BG-A0M7	1
TCGA-BG-A0M8	37
TCGA-BG-A0M9	0
TCGA-BG-A0MC	4
TCGA-BG-A0MG	2
TCGA-BG-A0MI	2
TCGA-BG-A0MK	2
TCGA-BG-A0MO	0
TCGA-BG-A0MT	9
TCGA-BG-A0MU	0
TCGA-BG-A0RY	1
TCGA-BG-A0VT	0
TCGA-BG-A0VV	0
TCGA-BG-A0VW	2
TCGA-BG-A0VX	0
TCGA-BG-A0VZ	1
TCGA-BG-A0W1	1
TCGA-BG-A0YU	2
TCGA-BG-A0YV	18
TCGA-BG-A186	0
TCGA-BG-A18A	1
TCGA-BG-A18B	3
TCGA-BG-A18C	10
TCGA-BG-A221	13
TCGA-BG-A222	2
TCGA-BG-A2AD	17
TCGA-BG-A2AE	4
TCGA-BG-A2L7	0
TCGA-BG-A3EW	16
TCGA-BG-A3PP	7
TCGA-BK-A0C9	1
TCGA-BK-A0CA	0
TCGA-BK-A0CB	2
TCGA-BK-A0CC	24
TCGA-BK-A139	23
TCGA-BK-A13C	1
TCGA-BK-A26L	12
TCGA-BK-A4ZD	19
TCGA-BK-A56F	0
TCGA-BK-A6W3	0
TCGA-BK-A6W4	0
TCGA-BS-A0TA	3
TCGA-BS-A0TC	1
TCGA-BS-A0TD	0
TCGA-BS-A0TE	18
TCGA-BS-A0TG	1
TCGA-BS-A0TI	36
TCGA-BS-A0U5	4
TCGA-BS-A0U9	3
TCGA-BS-A0UA	3
TCGA-BS-A0UJ	0
TCGA-BS-A0UL	7
TCGA-BS-A0V4	2
TCGA-BS-A0V7	12
TCGA-BS-A0V8	14
TCGA-BS-A0VI	2
TCGA-D1-A0ZN	1
TCGA-D1-A0ZO	1
