Sample	LST
TCGA-N5-A4R8	20
TCGA-N5-A4RA	21
TCGA-N5-A4RD	26
TCGA-N5-A4RF	4
TCGA-N5-A4RJ	7
TCGA-N5-A4RM	16
TCGA-N5-A4RN	21
TCGA-N5-A4RO	11
TCGA-N5-A4RT	24
TCGA-N5-A4RU	17
TCGA-N5-A4RV	20
TCGA-N5-A59E	27
TCGA-N5-A59F	21
TCGA-N6-A4V9	7
TCGA-N6-A4VC	15
TCGA-N6-A4VD	16
TCGA-N6-A4VE	22
TCGA-N6-A4VF	15
TCGA-N6-A4VG	8
TCGA-N7-A4Y5	16
TCGA-N7-A4Y8	14
TCGA-N7-A59B	13
TCGA-N8-A4PI	8
TCGA-N8-A4PL	16
TCGA-N8-A4PM	13
TCGA-N8-A4PN	23
TCGA-N8-A4PO	14
TCGA-N8-A4PP	24
TCGA-N8-A4PQ	21
TCGA-N8-A56S	10
TCGA-N9-A4PZ	27
TCGA-N9-A4Q1	23
TCGA-N9-A4Q3	19
TCGA-N9-A4Q4	16
TCGA-N9-A4Q7	18
TCGA-N9-A4Q8	18
TCGA-NA-A4QV	19
TCGA-NA-A4QW	20
TCGA-NA-A4QX	11
TCGA-NA-A4QY	7
TCGA-NA-A4R0	18
TCGA-NA-A4R1	21
TCGA-NA-A5I1	15
TCGA-ND-A4W6	23
TCGA-ND-A4WA	3
TCGA-ND-A4WC	1
TCGA-ND-A4WF	19
TCGA-NF-A4WU	9
TCGA-NF-A4WX	19
TCGA-NF-A4X2	33
TCGA-NF-A5CP	8
TCGA-NG-A4VU	12
TCGA-NG-A4VW	9
TCGA-QM-A5NM	6
TCGA-QN-A5NN	15
